GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	8.370528805920026	5.73602377712306e-17	16.24138905708713	1.21058e-05	8.51999e-14	17.0	85.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
P2RY10	4.135326419882734	3.5445044892598045e-05	4.45044446925989	NA	3.54451e-05	NA	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
IPO4	-3.7129696099680873	0.00020484149213461617	3.6885820692784255	0.0275843	0.00230542	30.0	209.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
RPS20	3.707612055352238	0.00020922284611920927	3.679390894366084	NA	0.000209231	NA	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
ANGEL2	-3.6296690941310974	0.0002837847812669795	3.5470108984803526	0.0097522	0.0108143	11.0	76.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
DCDC2C	3.6259783076115264	0.00028786952098877844	3.540804314861787	3.77936e-05	0.313769	10.0	59.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
IRX6	3.555444357651213	0.00037734080028505544	3.4232662338112863	0.151714	0.000324811	12.0	107.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
LIG3	3.5529208375801113	0.00038097909404567	3.419098855268504	0.0290087	0.00449421	16.0	158.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
KBTBD13	-3.550042543567994	0.00038516890073859495	3.414348785885157	0.00961947	0.0150445	14.0	131.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
SBK1	3.5066791208543875	0.0004537359395883051	3.343196819705305	NA	0.000453733	NA	69.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
TRMT12	3.428928175581957	0.0006059698666936803	3.2175489716324517	0.0331734	0.00654289	10.0	63.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
XKR7	-3.4044784064495905	0.0006629054124654481	3.178548435056566	0.000483158	0.185263	13.0	105.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
PHF23	3.3536012039595313	0.0007976723724732598	3.0981754495561344	0.00472608	0.0551645	10.0	62.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
STIMATE	3.3404094772047377	0.0008365494728743574	3.0775083701098374	0.0973217	0.00216889	6.0	42.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
FLNC	3.318446423789733	0.0009051968569121825	3.0432569627023565	0.223171	0.000511125	80.0	487.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
RAP1A	3.275585177440901	0.001054433124638112	2.9769809593305077	NA	0.00105443	NA	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
INSM2	3.26882799258917	0.001079939304950939	2.966600652166388	0.0170913	0.0252157	14.0	97.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
HP1BP3	3.2687118057419373	0.0010803828215605166	2.9664223298536974	0.0565662	0.00660735	6.0	70.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
MAGT1	3.259496707226656	0.0011161007610322687	2.9522965957345226	NA	0.00111613	NA	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
ZNF433-AS1	3.2579891028853125	0.001122047149402985	2.94998889326229	0.433162	0.000131465	31.0	159.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
SYK	-3.22072193612479	0.001278681450442279	2.893237634994456	0.0539777	0.00859459	7.0	61.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
LOC101928123	3.216834447416954	0.00129613366709548	2.8873502084279616	NA	0.00129614	NA	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
HYDIN	-3.2124046964681523	0.0013162881234871327	2.8806490372079203	0.0213679	0.024987	82.0	621.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
PRG2	-3.191295436809893	0.001416363689283964	2.84882521559491	0.0325134	0.0175426	12.0	48.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
LRWD1	-3.1707075928642245	0.001520681326191233	2.817961787115329	0.00430758	0.103238	30.0	165.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
KLHL8	3.1558937025849887	0.001600071615232604	2.7958605789663857	0.0299051	0.0219193	9.0	74.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
ATP1A1-AS1	3.128030549812773	0.0017598188868322101	2.7545320256499	NA	0.00175982	NA	33.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
RNF157	3.1272832148651415	0.0017642987994440367	2.7534278614034418	0.0026647	0.155998	17.0	120.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
ZNF716	3.115205708430206	0.0018381666958154704	2.7356151067746577	0.002832	0.155561	11.0	95.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
TIGD2	-3.101000280916362	0.0019286810763700034	2.714739580662831	0.0514714	0.0147708	7.0	64.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
SMIM19	3.0854522072046837	0.0020324288481184923	2.691984649379849	0.106639	0.0059595	3.0	20.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
DCAF12L2	3.0833528096890377	0.0020468233522903355	2.688919636788362	NA	0.00204683	NA	38.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
NEUROD2	3.0757507115462426	0.0020997331806131094	2.677835888861116	NA	0.00209973	NA	42.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
SEPTIN5	3.063635887848851	0.0021866487134348978	2.660220981055053	0.71969	7.07449e-05	5.0	63.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
WDR92	-3.0609728977447666	0.002206190633311543	2.656356963601064	0.0453871	0.0199217	6.0	50.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
VIT	3.0558688160306615	0.002244094172165881	2.648958922106679	0.00934457	0.0849854	27.0	174.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
ZNF534	-3.0533497467066004	0.002263020173631844	2.6453115745216573	0.0362647	0.0261395	22.0	120.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
ICAM2	3.052934077769475	0.002266157152078003	2.6447099762406037	0.0192591	0.0480386	6.0	50.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
TMEM128	-3.0427232330082874	0.00234447852653599	2.6299537406814277	0.0760848	0.0114325	4.0	32.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
MS4A4A	-3.0381702832704938	0.002380194146229098	2.6233876172304034	0.007703	0.102722	10.0	43.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
JUP	-3.0363123787229247	0.0023949110525565433	2.6207106117280046	0.182971	0.00305306	17.0	167.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
PSMG3	-3.0354019295698524	0.0024021533077846846	2.619399278947995	0.0249399	0.0403273	5.0	26.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
LRRC28	3.0303997936709717	0.002442302152127487	2.612200607842353	0.0570008	0.0172033	6.0	74.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
SLC38A5	3.0295367640965543	0.0024492909179372226	2.6109596278801126	NA	0.00244929	NA	36.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	INITIAL-DISCOVERY
