GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
OXGR1	1.1287187227619635	0.2590165085648657	0.5866725550301695	NA	0.259018	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
XPO4	1.1284985659588296	0.2591094221571315	0.5865167942065753	NA	0.259108	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
SF3A1	1.1283046565133314	0.2591912776019871	0.5863796175895011	NA	0.259191	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
MARCKS	1.1275025449609772	0.2595300651060879	0.5858123243151532	NA	0.25953	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
UPP1	1.1271380783067892	0.25968410600891134	0.585554630593494	NA	0.259684	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
GADL1	1.1264485859507363	0.25997569132921894	0.5850672582412275	NA	0.259975	NA	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
CPB2	-1.1261142419275052	0.2601171664970705	0.5848309854860256	NA	0.260117	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
THUMPD3	1.1259644015715822	0.26018058760914475	0.5847251098064592	NA	0.26018	NA	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
ANKDD1A	1.1256935276267228	0.2602952642998648	0.5845337331859843	NA	0.260295	NA	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
SNX1	1.1246781755995563	0.26072543311052965	0.5838166024303871	NA	0.260725	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
VSX1	-1.124483833441377	0.2608078250604854	0.5836793825351796	NA	0.260807	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
DNAJC18	1.1244308839667814	0.26083027627297006	0.5836419986183408	NA	0.26083	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
TRAPPC10	1.1243301330543105	0.2608729995602479	0.5835708681930031	NA	0.260871	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
SH3BP1	1.123991440013377	0.2610166573663163	0.5833317762960646	NA	0.261017	NA	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
MYO5C	-1.1238504806404572	0.26107646188363687	0.5832322815085594	0.261074	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
RCCD1	1.1233814487771867	0.2612755251979638	0.5829012705991161	NA	0.261275	NA	18.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
CYSTM1	1.1232977340792225	0.26131106585442443	0.5828421986241663	NA	0.261311	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
MARCHF9	1.123207812488959	0.2613492453391545	0.5827787496144958	NA	0.261348	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
ZAR1	1.1230191777212077	0.261429349627178	0.5826456575144265	NA	0.261429	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
RDH10	1.1229187729332664	0.26147199372519025	0.5825748216034885	NA	0.261472	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
RDH10-AS1	1.1229187729332664	0.26147199372519025	0.5825748216034885	NA	0.261472	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
SPTBN5	1.121915688568517	0.2618982894670586	0.5818673380674884	0.261899	NA	11.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
FAM124B	-1.1217991234220648	0.2619478590273502	0.5817851468110246	NA	0.261948	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
CPNE9	1.1217714428796572	0.26195963118547805	0.5817656296885882	NA	0.261959	NA	15.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
