GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
BLOC1S5-TXNDC5	0.9157193337253495	0.9222948723903428	0.035130205868101214	0.779412	0.811684	17.0	119.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
SDF2	0.9153593003797624	0.9223470102136104	0.035105655662271945	0.788802	0.802166	3.0	34.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
CCDC73	0.9143166341154533	0.9224979399987822	0.03503459497720612	0.817119	0.774771	18.0	130.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
RRAD	0.9143042444863274	0.9224997328820086	0.0350337509227085	0.725725	0.872347	11.0	62.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
TSPOAP1	0.9140018887921949	0.9225434821976075	0.03501315510554831	0.73507	0.861387	49.0	352.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
ATP6V1B1	0.913593648572908	0.9226025399920299	0.034985354081747126	0.633309	1.0	26.0	120.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
APOL2	0.9131010587319781	0.9226737810848262	0.034951820227604874	0.633465	1.0	15.0	100.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
COL27A1	0.9130616589637828	0.922679478397492	0.034949138560623545	0.756522	0.837355	67.0	360.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
SCTR	0.912974300209627	0.9226921102322286	0.034943192943863936	0.924168	0.685487	13.0	86.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
GOLM1	0.9126856158247432	0.9227338485247529	0.034923547929069994	0.844577	0.750194	11.0	85.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
AGPAT4	0.9122393183345088	0.9227983605613375	0.03489318571552695	1.0	0.633738	13.0	57.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
TTC8	0.911981926864839	0.9228355585421264	0.0348756796677354	0.921161	0.688066	12.0	78.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
NDST3	0.911877537769004	0.9228506431315774	0.03486858078607877	0.824379	0.768885	8.0	93.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
OAT	0.9118741344509405	0.9228511349071278	0.03486834935604991	0.729867	0.868451	11.0	60.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
ITGA6	0.9117789691937385	0.9228648857730882	0.034861878235746234	0.685331	0.924931	18.0	171.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
