GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
SAC3D1	2.6215844247814193	0.6230043377341938	0.2055089295086216	0.73091	0.368864	9.0	77.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
RPS3	0.9463854179182796	0.62301	0.20550498237780584	NA	0.62301	NA	21.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
TRIM13	2.6210753856252174	0.623094287145217	0.20544623056626554	0.905743	0.297739	7.0	98.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
IGF2BP2	2.620490640881788	0.6231976207545233	0.20537421338291503	0.371904	0.725332	7.0	76.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
MYH8	2.620278955461012	0.6232350306675863	0.2053481439137013	0.324816	0.83057	37.0	265.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
CHRAC1	2.619943149627876	0.6232943775701689	0.20530679064572574	0.333471	0.809149	4.0	44.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
MICAL3	2.6195559579561394	0.6233628088091374	0.20525911224651805	0.76633	0.352172	70.0	491.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
SLC19A1	2.6194793063258905	0.6233763563885139	0.2052496738024059	0.874796	0.308518	16.0	156.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
DPEP2	2.6190470283612863	0.6234527604546531	0.20519644780068275	0.278475	0.969382	12.0	94.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
TSPAN9	2.619038096178837	0.623454339237081	0.2051953480291011	0.468116	0.576673	6.0	56.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
USP44	2.618909935209513	0.6234769921471071	0.20517956843711108	0.43557	0.619802	13.0	119.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
SOWAHD	0.9448675593416072	0.6234830000000001	0.2051753835757266	NA	0.623483	NA	25.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
GPR83	2.618444545484656	0.6235592543309278	0.20512227096455501	0.891394	0.30293	13.0	95.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
GFOD2	2.6179975922639898	0.6236382619385261	0.20506724749376293	0.527307	0.512207	15.0	104.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
FAM228B	2.617931225007704	0.623649993987362	0.20505907750731947	0.848555	0.318305	12.0	111.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
GSDMB	2.617697643099728	0.6236912860793746	0.20503032366424467	0.734784	0.367633	15.0	69.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
ANKRD44	2.6174634001495978	0.6237326961717797	0.20500148956310643	0.373522	0.723284	16.0	164.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
SPTA1	2.616293179608866	0.6239395880041494	0.20485745818064785	0.676236	0.399743	80.0	496.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
SLC5A11	2.6160655137654283	0.6239798420255344	0.20482944018694205	0.988842	0.273402	15.0	118.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
HDGFL3	0.9431585398315876	0.624016	0.2048042747043934	NA	0.624016	NA	30.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
IRF1-AS1	0.9427002707567362	0.6241589999999999	0.20470476283917605	0.624159	NA	4.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
