GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,UKB_SIBLING_PROXY_PVAL,UKB_PARENT_PROXY_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,UKB_SIBLING_PROXY_SIG,UKB_PARENT_PROXY_SIG,SIG_DATASET
STK38L,1.1997541870035686e-06,,1.3832051563023e-06,0.191113,0.232684,0.010716,0.001,0,1,0,0,1,2
AUNIP,1.5286585509789986e-06,0.886038,0.031867507308835,3.14606e-08,0.124698,1.0,0.001,0,1,1,0,0,2
OR1G1,6.5648162477897655e-06,0.848285,0.0294867181866114,0.619956,6.58036e-07,0.063183,0.001,0,1,0,1,0,2
TREML1,1.8462814785736145e-05,0.631015,0.0147580872937318,0.503989,0.0503116,9.70351e-06,0.001,0,1,0,0,1,2
SLC35E4,2.112005604890428e-05,0.128816,0.0032044414743519,0.293505,0.000133513,0.167259,0.001,0,1,0,1,0,2
TMSB4X,3.5196315013762945e-05,,,0.000358241,,0.0070756,0.001,0,0,1,0,1,2
DPF2,6.215915078300312e-05,0.528104,0.012185492048181,0.190515,0.0754758,0.000112313,0.001,0,1,0,0,1,2
CD69,8.286511850334394e-05,,0.0279343733227742,3.15376e-05,,0.816614,0.001,0,1,1,0,0,2
ARSA,0.0001913163783461,0.359562,0.322117110798602,0.00265311,0.000874134,0.161243,0.001,0,0,1,1,0,2
RP1,0.0001973468249556,0.202753,0.0010845278921061,0.595962,0.000625513,0.549838,0.001,0,1,0,1,0,2
LURAP1L,0.0002456371542351,9.38138e-05,0.0237021986912571,0.447094,0.864014,0.0695381,0.001,1,1,0,0,0,2
FAM229A,0.0002615809106823,0.175385,0.0408255017751211,0.182309,0.557816,8.89638e-05,0.001,0,1,0,0,1,2
PRKG1,0.0002814271991651,0.27969,0.886837472054823,9.74342e-06,0.0457077,0.644541,0.001,0,0,1,1,0,2
RAP1A,0.0002828770232875,1.0,0.0920448597787588,0.00012297,0.581545,0.0108887,0.001,0,0,1,0,1,2
CDKN2C,0.0003197085037843,,0.236368052202411,0.00131868,0.0129654,0.126073,0.001,0,0,1,1,0,2
KLF8,0.0003644803100607,,,0.00106804,0.0152323,0.247298,0.001,0,0,1,1,0,2
OR11H2,0.000411390843172,,0.0480332690352772,0.732281,1.98042e-05,1.0,0.001,0,1,0,1,0,2
PSIP1,0.0005310633943351,0.00365964,0.135324014866093,0.445359,0.901814,0.000818361,0.001,1,0,0,0,1,2
BMP3,0.0005757816729882,0.759551,0.441479420581248,9.68908e-05,0.374179,0.0148887,0.001,0,0,1,0,1,2
ACTR3C,0.000584042638687,0.533823,0.134666619293956,0.015787,0.00195153,0.0832696,0.001,0,0,1,1,0,2
MRPS18B,0.0006390884751048,0.415198,0.127314904875765,0.000386261,0.0271237,0.37492,0.001,0,0,1,1,0,2
MPV17L,0.0006963136696588,0.0372027,,0.225812,0.259692,0.000616507,0.001,1,0,0,0,1,2
XPNPEP1,0.0007433677968767,0.857696,0.0001595057233301,0.629657,0.694565,0.00423677,0.001,0,1,0,0,1,2
JADE1,0.0007462477475878,0.0223012,0.446329524872197,0.00020623,0.385376,0.322079,0.001,1,0,1,0,0,2
TTC12,0.0008036265138327,0.791381,0.0004878248512421,0.00366532,0.872479,0.227648,0.001,0,1,1,0,0,2
EVI5L,0.0008100390336334,0.0495293,0.757330443398479,0.818491,0.202809,4.56149e-05,0.001,1,0,0,0,1,2
MVD,0.0008406363915633,0.194542,0.351845257418057,0.000488689,0.197219,0.0452236,0.001,0,0,1,0,1,2
DNAAF5,0.0009697757573439,0.285687,0.0004370419116557,0.75021,0.00433183,0.889106,0.001,0,1,0,1,0,2
SEMA5A,0.0010302370595899,0.6413,0.0081000511873483,0.634383,0.00038908,0.304998,0.001,0,1,0,1,0,2
NCS1,0.0011740027520749,,0.24375344844587,0.0122075,0.00124793,0.701213,0.001,0,0,1,1,0,2
OR5C1,0.0011967634581017,0.891861,0.299347621141881,0.000529622,0.30057,0.0112422,0.001,0,0,1,0,1,2
GSTA4,0.0012121567875178,0.00982651,0.0765263203066121,0.00550237,0.139908,0.839598,0.001,1,0,1,0,0,2
MYEF2,0.0012394316307592,0.442099,0.0144913435486784,0.00122138,0.537035,0.119165,0.001,0,1,1,0,0,2
CCDC120,0.0013306638023013,,0.0392724279125031,0.201601,0.00316882,0.121749,0.001,0,1,0,1,0,2
SLC2A13,0.0013514789551657,0.0886198,0.0203195994920912,0.00134538,0.399908,0.580566,0.001,0,1,1,0,0,2
FOXA2,0.0013603107394381,0.000249957,0.133411072074153,0.651554,0.0427529,0.610848,0.001,1,0,0,1,0,2
ZNF227,0.0014993784626239,0.161983,0.168049616946532,0.0307735,0.0106538,0.0724848,0.001,0,0,1,1,0,2
FERMT2,0.0016037630577032,0.167978,0.397696773891705,0.00719181,0.0253713,0.0581178,0.001,0,0,1,1,0,2
PHC2-AS1,0.0016196510681037,1.0,,0.00192947,0.0142101,0.14326,0.001,0,0,1,1,0,2
PLXNB1,0.0016541796732518,0.35328,0.848131983241553,0.122008,0.000838851,0.0240887,0.001,0,0,0,1,1,2
TUBA4B,0.0016550724128292,0.0225444,0.764454190822932,0.0736206,0.00282886,0.205961,0.001,1,0,0,1,0,2
WBP11,0.0016875968483449,0.145934,0.491773830829858,0.134901,0.0134623,0.00582325,0.001,0,0,0,1,1,2
ZC3H4,0.001790271914932,0.429023,0.533327591591778,0.312723,0.00443987,0.00258801,0.001,0,0,0,1,1,2
SH3GLB2,0.0018294587078593,0.901774,0.0977399772966835,0.664671,0.00216731,0.0066685,0.001,0,0,0,1,1,2
LRRC56,0.0018805799986344,0.220944,0.100711117685742,0.697873,0.00966762,0.00585488,0.001,0,0,0,1,1,2
KIF2C,0.0018819773443447,0.0144928,0.765646545957659,0.000345036,0.347246,0.661804,0.001,1,0,1,0,0,2
DMC1,0.0018847529008498,0.00397551,0.449298079836146,0.609527,0.00114805,0.705342,0.001,1,0,0,1,0,2
ATP13A3,0.0019265449405134,0.438361,0.143543546882979,0.235443,0.00122832,0.0499124,0.001,0,0,0,1,1,2
MAP3K1,0.0019286679308435,0.69259,0.849514271632245,0.000206767,0.0101151,0.739219,0.001,0,0,1,1,0,2
MRFAP1,0.0019812559357886,,0.0335794441296842,0.789264,0.449794,0.000427,0.001,0,1,0,0,1,2
MAPT-AS1,0.0020707873463116,0.0106394,,0.241426,0.183533,0.0114313,0.001,1,0,0,0,1,2
OR2M3,0.0020902251666176,0.012348,0.0611554023090525,0.472659,0.00911577,0.311919,0.001,1,0,0,1,0,2
LOC101928295,0.0021038837238389,0.210194,,0.00508025,0.00759598,0.678136,0.001,0,0,1,1,0,2
ARAF,0.0021124799239747,,,0.00248285,0.628838,0.0209198,0.001,0,0,1,0,1,2
NEK2,0.0021454828247246,0.89235,0.013165266402973,0.8393,0.000134212,0.794674,0.001,0,1,0,1,0,2
SEC14L5,0.0021580922514785,0.134845,0.0284514374554987,0.111991,0.00246724,1.0,0.001,0,1,0,1,0,2
ENO1,0.002175408751654,0.446468,0.111255741546929,0.00984635,0.00923825,0.237187,0.001,0,0,1,1,0,2
FBXO34,0.0021772103751787,0.167828,0.664610499182651,0.000239241,1.0,0.0402061,0.001,0,0,1,0,1,2
ZNF790-AS1,0.002268693648016,0.306494,,0.0163003,0.00394318,0.307826,0.001,0,0,1,1,0,2
SERINC3,0.0023360276864841,0.0531097,0.0102767518919163,0.0460559,0.119954,0.391741,0.001,0,1,1,0,0,2
SULT1A1,0.0023735472754981,0.0678734,0.708927186575601,0.00137393,0.49073,0.0372123,0.001,0,0,1,0,1,2
RSRC2,0.0023795370458669,0.574191,0.0043322126538551,0.0872634,0.0313458,0.178039,0.001,0,1,0,1,0,2
LOC105371046,0.0024091426574673,0.663009,,0.00184318,0.0319435,0.167921,0.001,0,0,1,1,0,2
ARNTL2,0.0024836321290011,0.130517,0.0041801163529956,0.493697,0.620091,0.00769105,0.001,0,1,0,0,1,2
