GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
STEAP3	2.2014274584929914	0.6987679464519747	0.15566702498033344	0.379642	0.876177	28.0	157.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
PSTPIP1	2.201337867539058	0.6987843476487745	0.15565683151666537	0.453816	0.733003	31.0	174.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
GLG1	2.200329106012539	0.6989690237855837	0.15554207045901206	0.352029	0.945423	18.0	199.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
THSD7B	2.200295857353809	0.6989751108334475	0.15553828837468853	0.681399	0.488439	31.0	268.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
TRO	0.7162605763057055	0.698982	0.15553400794720545	NA	0.698982	NA	136.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
GABARAPL1	0.715971605477666	0.6990830000000001	0.15547125872918113	NA	0.699083	NA	27.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
GPR37L1	2.199694154547752	0.6990852700639277	0.155469848489429	0.824546	0.403764	16.0	92.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
GPN2	2.1985412815566203	0.699296345454355	0.15533874139104173	0.353833	0.941444	13.0	82.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
SPATS2	2.198527228078871	0.6992989185232107	0.15533714340249657	0.340507	0.978295	16.0	91.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
CRACR2A	2.1984857220021228	0.699306517932357	0.15533242387063725	0.557478	0.597554	25.0	205.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
EXOC2	2.1974930975231852	0.6994882632562256	0.15521956815688492	0.530869	0.627817	29.0	239.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
DAB2	2.1969814501145297	0.6995819468910669	0.15516140626419087	0.435356	0.76575	12.0	130.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
UXT	0.7144559079269003	0.6996130000000002	0.1551421291879152	NA	0.699613	NA	11.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
KCNQ1-AS1	2.1966888665451387	0.6996355204772976	0.1551281495140005	0.855114	0.389916	3.0	29.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
CCR7	2.196675854837199	0.699637903005576	0.15512667057662208	0.867485	0.384358	7.0	55.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
RUSF1	2.196108446285292	0.699741800547304	0.15506218181917605	0.499841	0.667251	28.0	152.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
HNRNPH3	2.196024491319857	0.6997571736703054	0.15505264060105095	0.60263	0.553463	6.0	52.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
HCRTR1	2.195991453283092	0.6997632233318878	0.15504888597961317	0.481252	0.693065	18.0	92.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
GAS2L2	2.1959740881285224	0.6997664031039599	0.15504691252019	0.946997	0.35221	35.0	198.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
SCAND1	2.195554910461073	0.6998431604059778	0.15499927741735176	0.532296	0.626741	3.0	48.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
TGFB1I1	2.1948688218450907	0.699968795931808	0.15492132006672543	0.895676	0.372597	14.0	91.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
OR52J3	2.1947834094676972	0.6999844367872694	0.15491161583224008	0.85365	0.390957	7.0	85.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
PPP2R1A	2.19430934701885	0.7000712489619605	0.15485775790521272	0.437276	0.763407	10.0	92.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
CLECL1	2.1942848614435246	0.7000757329060583	0.1548549762655648	0.446419	0.747781	5.0	34.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
KDM4E	2.194168301875102	0.7000970780536984	0.15484173492883316	0.337416	0.989411	20.0	128.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
R3HDML	2.1939551038252785	0.7001361205545054	0.15481751618772427	0.745761	0.447702	8.0	66.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
LOC339874	2.193925811784074	0.7001414847718339	0.15481418877610723	0.392197	0.851316	4.0	20.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
PGRMC1	0.7127328402170657	0.700216	0.15476796978875187	NA	0.700216	NA	23.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
PPP4R3B	2.193442541683765	0.7002299864631392	0.1547592950610985	0.988212	0.337948	12.0	138.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
COMTD1	2.193372439316936	0.7002428245298217	0.15475133274797837	0.477084	0.700036	8.0	71.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
GEMIN7	2.193076943567198	0.7002969400307546	0.15471777131109954	0.428158	0.780145	8.0	49.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
FRS3	2.1930163371943316	0.7003080392426576	0.154710888104836	0.423335	0.789057	20.0	121.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
C8orf58	2.1928725862451177	0.7003343653424488	0.15469456233912557	0.664179	0.502966	22.0	137.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
GUCY2F	0.7121559586008818	0.700418	0.15464270153744183	NA	0.700418	NA	138.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
MAP7D1	2.192126686418961	0.7004709697762961	0.15460985884674994	0.768506	0.434849	27.0	208.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
MIR433	0.7118647251553466	0.7005200000000001	0.15457946099827094	NA	0.70052	NA	3.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
KRTAP6-2	0.7118590151195305	0.700522	0.15457822107974784	NA	0.700522	NA	17.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
GLUL	2.1917114261820845	0.7005470226611239	0.15456270834843475	0.515215	0.648765	6.0	57.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
NUDT16L1	2.191441460140056	0.7005964663646289	0.1545320574868004	0.800719	0.417498	15.0	100.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
HEXD	2.19131762450126	0.7006191467922646	0.15451799828780527	0.722437	0.462766	46.0	232.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
BAG6	2.1912500137493933	0.7006315297152127	0.15451032252329502	0.639374	0.522903	15.0	220.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
SERP2	2.1911790345924493	0.7006445296015467	0.15450226446954776	0.892744	0.374511	2.0	8.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
C4orf54	2.191162725596098	0.7006475166122639	0.15450041297502828	0.380238	0.879305	45.0	343.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
AOC2	2.190856286184958	0.7007036417241945	0.15446562536840203	0.458007	0.730112	25.0	179.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
GZMA	2.1906450414829157	0.7007423321334855	0.1544416458050434	0.489376	0.683384	11.0	54.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
