GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
ZSCAN25	19.265127328392666	0.00069705772711694	3.156731254139867	0.437493	0.000149851	3.0	18.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	INITIAL-DISCOVERY
RHOT1	13.899407899260616	0.0009589189999999995	3.018218076185678	NA	0.000958919	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	INITIAL-DISCOVERY
KIF19	17.0643403772256	0.0018780941335594865	2.726282643879867	0.167308	0.00117763	3.0	18.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	INITIAL-DISCOVERY
TMEM252	11.04934212975028	0.00398718	2.3993341578058356	NA	0.00398718	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	INITIAL-DISCOVERY
OTUD7B	11.02521544659303	0.004035570000000001	2.394095115124925	NA	0.00403557	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	INITIAL-DISCOVERY
ACSL6	10.682687745104888	0.00478943	2.3197161697972724	NA	0.00478943	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	INITIAL-DISCOVERY
WDR33	10.536686233272489	0.0051521400000000064	2.2880123443281004	NA	0.00515214	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	INITIAL-DISCOVERY
RRP1B	10.29113075744051	0.0058251799999999975	2.2346906502506227	NA	0.00582518	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	INITIAL-DISCOVERY
ENOX2	10.244980371941054	0.00596116	2.224669221370562	NA	0.00596116	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	INITIAL-DISCOVERY
EME2	10.158803882347758	0.006223629999999997	2.2059562344204813	NA	0.00622363	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	INITIAL-DISCOVERY
CTSA	10.058871847119946	0.006542500000000005	2.184256268688081	NA	0.0065425	NA	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	INITIAL-DISCOVERY
NUP160	10.00938000483828	0.006706420000000004	2.1735092516870043	NA	0.00670642	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	INITIAL-DISCOVERY
GLIPR2	9.97289635019981	0.006829879999999997	2.165586926742429	NA	0.00682988	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	INITIAL-DISCOVERY
SULT1E1	9.760796268004938	0.00759399	2.1195299790881994	NA	0.00759399	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	INITIAL-DISCOVERY
CAPRIN2	9.735271111133065	0.007691529999999995	2.1139872616986146	0.00769153	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	INITIAL-DISCOVERY
YJEFN3	9.666215420097965	0.00796174	2.0989920089183345	NA	0.00796174	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	INITIAL-DISCOVERY
