GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
CCKAR	7.227284819925064	0.3003386703277921	0.522388746293376	0.0656023	1.0	0.410862	9.0	31.0	17.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
RERG	7.22663233703752	0.30039608807631063	0.5223057272535352	0.148822	0.883620582955977	0.205033	5.0	13.0	9.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PRAMEF11	4.874692311612263	0.3003981707505951	0.5223027162595515	NA	0.448585192258233	0.194818	NA	11.0	9.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
LIPJ	7.225121763653948	0.3005290489059692	0.5221135430627979	0.376145	0.616855363406921	0.116291	4.0	13.0	8.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
OSBPL10	7.2240425098438825	0.30062407240011535	0.5219762463307678	0.151816	0.199703051869803	0.890465	9.0	50.0	34.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
TUBA3D	7.223469566626033	0.30067452680038603	0.5219033638470705	0.87997	0.75542036288438	0.0406244	5.0	39.0	17.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
FAM105A	2.403011258697907	0.30074106628729197	0.5218072648019443	NA	0.300741066287292	NA	NA	21.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
SACM1L	7.220856468919479	0.30090472263912404	0.5215709960418524	0.075993	0.443484970827717	0.80234	6.0	26.0	12.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
SLC17A4	7.220396635977815	0.3009452446260299	0.5215125147714603	1.0	0.0428893288103496	0.630611	5.0	15.0	18.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PIANP	7.220370019437405	0.300947590290093	0.5215091297537299	0.90748	0.038175355648605	0.780722	6.0	24.0	7.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
