GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
AUNIP	42.03485100546311	1.6406449871452334e-08	7.784985384092457	NA	0.0238345148633997	3.12638e-08	NA	8.0	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP2
CAPN10	35.537312498625305	3.602498596644737e-07	6.443396179693589	NA	0.0051155550562002	3.75213e-06	NA	6.0	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP2
SLC25A26	17.636556028270654	0.00014800300000000026	3.829729481427738	NA	NA	0.000148003	NA	NA	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP2
LY6K	17.26741502025824	0.00017800347059650017	3.7495715300157406	NA	0.0001780034705965	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP2
FMNL1	16.163569999510834	0.00030911876574339967	3.509874629322251	NA	0.0003091187657434	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP2
USP13	15.719063607985262	0.00038605457827780004	3.4133512928171097	NA	0.0003860545782778	NA	NA	6.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP2
FIBCD1	20.544928335516204	0.0003897125214331788	3.4092556401350156	NA	0.581681727567489	5.94347e-05	NA	5.0	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP2
TRAPPC3L	15.516891186522962	0.0004271199831333996	3.3694501093000624	NA	0.0004271199831334	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP2
ZNF587B	14.86253550373046	0.0005924359738153	3.227358578180653	NA	0.0005924359738153	NA	NA	7.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP2
ULK4	18.900653853673944	0.0008220628844660164	3.085094959428325	NA	0.368435111311404	0.000213508	NA	17.0	12.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP2
SLC17A1	14.071495857064463	0.0008798598464866005	3.055586501423783	NA	0.0008798598464866	NA	NA	12.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP2
RP11-400G3.5	14.047205865049218	0.0008906108943775006	3.0503119966749352	NA	0.0008906108943775	NA	NA	10.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP2
ATF6	14.02429155406529	0.0009008734394038996	3.0453362172664677	NA	0.0009008734394039	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP2
NOC2L	13.897994134239934	0.0009595970827040997	3.0179110810120826	NA	0.0009595970827041	NA	NA	15.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP2
