GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
RABGGTB	19.42764541367321	0.0006475672185683531	3.188715144407882	NA	0.0435224365751893	0.00138876	NA	15.0	10.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
NBPF1	19.42455413265739	0.0006484753321616837	3.1881065397184063	NA	0.0134155327136672	0.00451236	NA	12.0	28.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
DLEU7	23.416276398578777	0.0006683976913476444	3.174965058833569	0.0142538	0.0872596599433554	0.00661418	6.0	13.0	12.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
LSR	23.331838995301666	0.000692624301883237	3.159502274570225	0.0990747	0.0140285725754592	0.00617418	25.0	72.0	44.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
IDUA	23.312308103921882	0.000698349804768426	3.1559269839295094	0.257983	0.0441942959846964	0.000760045	95.0	53.0	144.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
SST	19.07456936878998	0.0007598687822323592	3.119261397288337	0.00569972	0.0126519179811323	NA	4.0	10.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
RAB32	23.101130767167117	0.0007633051535188676	3.1173018054328256	0.13206	0.0001740109878601	0.419088	8.0	14.0	11.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
PURG	23.09960328761862	0.0007637959621867716	3.117022641857751	1.0	0.32243236055674	2.98914e-05	4.0	19.0	11.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
RPS20	18.958056616182745	0.0008009978042258938	3.096368674444957	NA	0.74764936165867	0.000102238	NA	5.0	4.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
NTNG1	22.968228295588084	0.0008071899082243349	3.093024276441465	0.0136206	0.465600987467991	0.00162294	8.0	29.0	20.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
L3HYPDH	22.830142856558503	0.0008554102680088235	3.067825540947564	0.702175	0.0025715966509641	0.0061073	10.0	35.0	25.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
ANKRD55	22.768923384043926	0.0008776831831587921	3.056662222859438	0.000538252	0.0621643195252348	0.339832	17.0	58.0	41.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
USE1	22.713235973657063	0.00089843737380468	3.0465121902956454	0.00127552	0.0620862040099475	0.147639	8.0	29.0	16.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
FAM187A	22.712729648261732	0.0008986282696699601	3.0464199231917446	0.841467	0.393499555355001	3.53193e-05	14.0	59.0	25.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
DCDC2C	22.5980753068131	0.0009428968241057207	3.0255358270644157	2.84691e-05	0.834525600387543	0.521287	10.0	18.0	16.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
DLEU7-AS1	18.53854238188883	0.0009681581224623986	3.014053706632985	0.0142538	NA	0.00661418	6.0	NA	12.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
SEZ6L2	22.358355557430485	0.0010424824308889954	2.9819312555218374	0.0396062	0.0005348235513389	0.65913	16.0	91.0	49.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
SNTG2	22.349358766208805	0.001046414258213192	2.9802963513772966	0.00221497	0.29124403225778	0.0217407	24.0	61.0	43.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
