GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	75.0634464659235	3.724594420278323e-14	13.428921011674065	1.24227e-05	6.99091972089505e-08	5.77337e-05	10.0	19.0	27.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	META-GROUP2
LRRK2	41.3364667436784	2.4856576669761364e-07	6.604558684053449	2.23407e-07	0.0115710096063825	0.408726	49.0	118.0	108.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	META-GROUP2
STK38L	30.291995155232595	4.268170031336271e-06	5.369758287888566	NA	1.3832051563023e-06	0.191113	NA	9.0	7.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	META-GROUP2
ADH5	34.84308103580474	4.62190348220792e-06	5.335179128000608	0.51154	0.169765612178923	3.12746e-07	7.0	30.0	20.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	META-GROUP2
CD69	20.728660146347494	3.153759999999998e-05	4.501171359403284	NA	NA	3.15376e-05	NA	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	META-GROUP2
CFI	30.14769250987262	3.684673756122016e-05	4.433600958873659	0.0823215	0.003706706126469	0.00093113	9.0	39.0	27.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	META-GROUP2
FKBP1A	19.3899473904759	6.159230000000006e-05	4.210473578039021	NA	NA	6.15923e-05	NA	NA	7.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	META-GROUP2
MSR1	28.175344803542245	8.708026883081072e-05	4.060080238891882	0.08843	0.0116221506234608	0.000741166	12.0	24.0	20.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	META-GROUP2
KIF9	27.975278593862715	9.497537125325042e-05	4.022389000137833	0.54681	0.879487170586856	1.75057e-06	20.0	59.0	47.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	META-GROUP2
DIAPH2	23.224868510914217	0.00011417809606295939	3.9424172031952027	NA	6.60505323958338e-05	0.137059	NA	9.0	14.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	META-GROUP2
COA8	23.22410322783704	0.00011421832839438242	3.942264200101977	0.113558	NA	7.97503e-05	5.0	NA	15.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	META-GROUP2
IL12A	18.061858771875333	0.00011965123930189996	3.9220827987706506	NA	0.0001196512393019	NA	NA	7.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	META-GROUP2
EEA1	27.41844003159573	0.00012086855507786268	3.9176866696307027	0.586861	0.18057781541685	1.04945e-05	25.0	60.0	47.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	META-GROUP2
SLC6A14	23.00216417132233	0.00012650017350119256	3.8979088788315712	NA	0.847953500886033	1.19336e-05	NA	11.0	7.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	META-GROUP2
OTX1	22.981754128699265	0.00012769339470614132	3.893831567238285	NA	2.57926898675764e-05	0.39635	NA	17.0	6.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	META-GROUP2
RAP1GDS1	27.255733806238716	0.0001296729932433566	3.887150464214118	0.000917862	0.103149561940138	0.0127423	16.0	27.0	29.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	META-GROUP2
RAP1A	22.778098698526946	0.00014022863169854075	3.853163303636419	NA	0.0920448597787588	0.00012297	NA	6.0	9.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	META-GROUP2
