COHORT	VARIANT_GROUP	MAF	TEST	MIN_NUMVAR	LAMBDA	LAMBDA1000
AMP_NIH	ALL_MISSENSE_SNPEFF	0.01	CMCWald	4	0.9826426751006186	0.9955467329469195
AMP_NIH	ALL_MISSENSE_SNPEFF	0.01	SkatO	4	0.9411522840371961	0.9849017866425067
AMP_NIH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	CMCWald	1	0.8775689829846622	0.9685885919915594
AMP_NIH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	CMCWald	2	0.9312771654324133	0.9823681853771696
AMP_NIH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	CMCWald	3	0.9592737476072773	0.9895511042728472
AMP_NIH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	CMCWald	4	0.9592737476072773	0.9895511042728472
AMP_NIH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	CMCWald	1	0.9167991697215728	0.9786536509274502
AMP_NIH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	SkatO	1	0.9507667866627121	0.9873685231944908
AMP_NIH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	CMCWald	2	0.9610270088372437	0.9900009282241826
AMP_NIH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	SkatO	2	0.9412081114713667	0.984916109959878
AMP_NIH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	CMCWald	3	0.979812533804055	0.9948206201925286
AMP_NIH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	SkatO	3	0.939425072610753	0.9844586461364857
AMP_NIH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	CMCWald	4	0.981974874842824	0.9953753993512581
AMP_NIH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	SkatO	4	0.9370521936896268	0.9838498505080316
GENENTECH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	CMCWald	1	0.9464547421682906	0.9871094749664403
GENENTECH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	SkatO	1	0.9879439331592273	0.9970976135383325
GENENTECH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	CMCWald	2	0.9464152880853084	0.9870999767612779
GENENTECH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	SkatO	2	0.987639667823614	0.9970243644760552
GENENTECH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	CMCWald	3	0.9516493096899054	0.9883600189994216
GENENTECH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	SkatO	3	0.9839016968315647	0.9961244825705619
GENENTECH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	CMCWald	4	0.9540722408507157	0.9889433172418389
GENENTECH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	SkatO	4	0.9784531048940375	0.9948127845115275
GENENTECH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	CMCWald	1	0.9695781364875583	0.9926762180433011
GENENTECH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	SkatO	1	0.9957369508927938	0.9989737104001171
GENENTECH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	CMCWald	2	0.9693996913268329	0.9926332590231265
GENENTECH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	SkatO	2	0.9957354154049121	0.9989733407456269
GENENTECH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	CMCWald	3	0.977076070984168	0.9944812763480404
GENENTECH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	SkatO	3	0.9947747204108637	0.9987420623211338
GENENTECH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	CMCWald	4	0.9790953414217101	0.9949673970089302
GENENTECH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	SkatO	4	0.9896913924560294	0.997518298183859
GENENTECH	ALL_LOF_HC_LOFTEE	0.001	CMCWald	1	0.8503845445989298	0.963981464440483
