GENE	TEST_STAT	META_PVAL	-log10	GNE_PVAL	UKB_ALL_PVAL	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
DCAF8L2	2.41338633565678	0.299185	0.5240601841382243	NA	0.299185	NA	70.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
PCOTH	2.413259327974443	0.2992040000000001	0.5240326047704251	NA	0.299204	NA	45.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
AC138647.1	2.4128574611754257	0.2992641261173369	0.5239453405037886	0.299264126117337	NA	4.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
POFUT2	4.8850800498961195	0.2992935404089557	0.523902656347311	0.237147623486424	0.366606	69.0	117.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
APBB3	4.884569767018381	0.2993477247448745	0.5238240384519899	0.129118265340844	0.673506	53.0	125.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CACNA2D2	4.8839080033197595	0.2994180062167031	0.5237220858720173	0.134414177885463	0.647184	81.0	152.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
COPS8	4.883879742547532	0.29942100790900905	0.5237177320527967	0.654448666317327	0.132924	12.0	26.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
LRRC61	4.8834746720342	0.29946403485871304	0.5236553282005469	0.214464022656002	0.405707	33.0	96.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
LOC105377267	2.411441996386849	0.2994759999999999	0.523637976230285	NA	0.299476	NA	150.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
MRPL18	4.883349522792	0.2994773293628728	0.5236360484174427	1.0	0.087015	19.0	42.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
PRCD	4.883337171668549	0.29947864143949426	0.5236341456811339	0.0988388366907883	0.880378	3.0	64.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CT55	2.4113752141869704	0.299486	0.5236234746598366	NA	0.299486	NA	14.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
NKX2-2	4.883207619674355	0.29949240421209317	0.5236141878008996	0.14428596500328	0.603116	29.0	49.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
INTS12	4.882369395696758	0.29958146447034834	0.5234850605562508	0.214307895167391	0.406227	35.0	68.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
COMMD1	4.882122884966602	0.29960766012332385	0.5234470871449273	0.348666833445406	0.249718	14.0	43.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
STC1	4.882076479473194	0.29961259165207993	0.5234399387359081	0.370186280865045	0.235207	12.0	38.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ARRDC3-AS1	2.4097931283881353	0.29972299999999996	0.5232799290936709	NA	0.299723	NA	10.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
NTNG2	4.879819896266269	0.29985248109176427	0.5230923532960888	0.0960211816088575	0.907807	43.0	99.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CCT6B	4.879573621486143	0.29987867136896945	0.5230544219902686	0.643234010905049	0.135533	46.0	84.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
TAS2R8	4.879433651137362	0.2998935574695009	0.5230328639687118	0.146712780065079	0.59426	26.0	63.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
HECTD2-AS1	2.4081856230530243	0.2999639999999999	0.5229308637453365	NA	0.299964	NA	72.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ABCG1	4.87827789555301	0.3000164976708262	0.5228548631123182	0.221543138235278	0.393765	84.0	169.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
GPR61	4.876617978137126	0.3001931399958634	0.5225992364631119	0.578090076103802	0.151029	25.0	60.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CELA2B	4.875523617361514	0.300309645169233	0.5224307191613027	0.454376492690591	0.192255	41.0	70.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
NOC2L	4.875442829363152	0.3003182473149048	0.5224182792981369	0.186903608942685	0.467405	140.0	280.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
TRPV4	4.875327499198372	0.3003305277969834	0.5224005206817088	0.230753047583186	0.378607	85.0	186.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
VAV3	4.875274679413726	0.3003361522448623	0.5223923874965037	0.646684133305841	0.1351	71.0	161.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
MLLT11	4.874812397958775	0.3003853814388275	0.5223212065378178	0.80235805479307	0.108913	5.0	10.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CD7	4.872939246319538	0.3005849254603839	0.5220328033683147	0.519962346901093	0.168222	33.0	78.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
MAPK8IP3	4.872686821652471	0.30061182430604166	0.5219939408154115	0.511406343445306	0.171058	111.0	264.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
VWA3B	4.872135294528192	0.30067060303452703	0.5219090313740073	0.422028693947053	0.207342	126.0	266.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
TEX13D	2.4034706187714883	0.30067200000000005	0.5219070135745257	NA	0.300672	NA	41.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
RP11-644F5.10	2.4019321786249823	0.3009033719144171	0.5215729455413427	0.300903371914417	NA	15.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
TRIB1	4.869373810160508	0.30096505057882716	0.5214839337151789	0.231334670301896	0.378781	24.0	78.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
GNAI2	4.869029182887916	0.30100181381447316	0.5214308873721252	0.489197816733312	0.179151	30.0	67.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
FASTKD1	4.868739496330663	0.30103271911765234	0.5213862985589928	0.766150437387368	0.114407	88.0	163.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
KRT14	4.8685787353832275	0.3010498710888848	0.5213615544239416	0.357760949787971	0.245024	53.0	110.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
SLU7	4.86853465534007	0.30105457423636783	0.52135476971735	0.16693380879182	0.52513	38.0	87.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ABCG4	4.867950223411585	0.301116936335766	0.521264816887401	0.291926994508496	0.300375	39.0	91.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
RERGL	4.867920354409309	0.3011201238108886	0.5212602196849085	0.14310430567724	0.612762	28.0	47.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
PES1	4.86757556419969	0.30115692018100776	0.5212071528756183	0.487705049170248	0.17983	71.0	125.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
SCAMP3	4.867285425137953	0.30118788701937005	0.5211624982961355	0.147154969925702	0.596084	27.0	73.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ETV6	4.866365844099331	0.3012860523300105	0.5210209729941488	0.669374947058842	0.131103	35.0	77.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
C11orf71	4.8657728788288885	0.3013493654952243	0.5209297186218633	0.508766530779036	0.172541	24.0	38.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
GHITM	4.865204694631594	0.30141004306379043	0.5208422809712239	0.131372247697856	0.668391	26.0	61.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CLEC1B	4.865198046104693	0.3014107531338571	0.5208412578495477	0.706604434838583	0.124268	33.0	64.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
HIF1A-AS3	2.3982889589385907	0.3014519999999999	0.5207818304382623	NA	0.301452	NA	110.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
DNAJC5G	4.864108936884851	0.30152708997605826	0.5206736636279728	0.311307077020901	0.282217	17.0	48.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
HAO2	4.862208334926843	0.30173019849544663	0.5203812215333089	0.337794298972989	0.260335	50.0	92.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ZFP69B	4.861932290340004	0.30175970755203874	0.5203387498355194	0.124233977816264	0.707953	52.0	93.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
FAM53B-AS1	2.395835678695164	0.301822	0.5202491074021209	NA	0.301822	NA	11.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
PPIL6	4.861149747657889	0.3018433740862243	0.5202183531196813	0.175552552406151	0.501196	22.0	96.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
TGFBRAP1	4.861044587343444	0.30185461890210935	0.5202021742966733	0.491209581298378	0.179131	77.0	173.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
NOL8	4.860940351014467	0.3018657652594465	0.520186137728711	0.18329025001534	0.480088	106.0	212.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
DCAF13	4.860803548325178	0.3018803945710907	0.5201650910380814	0.371563490959315	0.236841	73.0	100.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CKM	4.860625576539357	0.3018994272766626	0.520137710861702	1.0	0.0880093	47.0	104.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
THTPA	4.860195081386749	0.3019454695243422	0.5200714822846406	0.141525648642619	0.621995	26.0	572.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
PSMD4	4.858899648197461	0.3020840536692537	0.519872199540472	0.732901908298042	0.120187	15.0	42.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
EXOG	4.858892056887663	0.3020848659356483	0.5198710317782733	0.342218278429277	0.257396	39.0	87.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
DUSP16	4.8586818613288045	0.3021073574770162	0.519838697855619	0.339763401702837	0.259283	67.0	124.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
MIR4321	2.393914938864062	0.3021119999999999	0.5198320240472114	NA	0.302112	NA	5.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
FAM166A	4.858439358504964	0.3021333077184218	0.5198013946838776	0.154829472258434	0.569049	66.0	132.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
VWA3A	4.856940942222905	0.30229369439566856	0.5195709117627298	0.876378758290514	0.100609	98.0	232.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ORC5	4.856843668097084	0.30230410881487935	0.5195559499988204	0.401328473917134	0.21971	37.0	82.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CUL7	4.856768533827379	0.3023121530878422	0.5195443936329763	0.795223847750775	0.110886	179.0	375.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
TAPBP	4.856665595598816	0.3023231744885405	0.5195285608382707	0.863784212002935	0.10209	43.0	102.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
MIR6838	2.392306910547609	0.302355	0.5194828451349214	NA	0.302355	NA	3.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
HNRNPD	4.856321616574438	0.30236000609004526	0.5194756545831384	0.681604171473116	0.129399	19.0	51.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
PPP2CB	4.856045833192284	0.3023895383249241	0.519433238059555	0.189398575863131	0.465743	15.0	32.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ZNF610	4.855998635255641	0.302394592751104	0.519425978909434	0.529134931095647	0.166712	43.0	73.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
GALNT18	4.855967155045796	0.3023979640052056	0.5194211371929245	0.281390552091311	0.313495	64.0	209.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CD6	4.855809129750535	0.3024148875985308	0.5193968327384886	0.196388624405687	0.449219	35.0	120.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
OR13C9	4.855720095137042	0.3024244230360297	0.5193831392241424	0.181353197511039	0.486484	25.0	49.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ITGB1	4.854816374077528	0.3025212239680681	0.5192441511639939	0.385894676823744	0.228729	39.0	90.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
TRIM64B	4.854511305282744	0.3025539068314969	0.5191972347183123	0.106785947384057	0.826689	5.0	42.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
FIGNL1	4.854433581596908	0.30256223405342414	0.5191852817516387	0.190012330260363	0.464613	72.0	126.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
LNP1	4.853943963316235	0.3026146955403588	0.5191099856415886	0.253293138244212	0.348623	18.0	35.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
XXYLT1	4.853822076900721	0.30262775656695445	0.5190912416431807	0.17310199686717	0.510157	52.0	105.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CD68	4.853119815325303	0.30270301818045003	0.518983248773919	0.194977065722821	0.45308	30.0	78.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
NFRKB	4.852443418687922	0.3027755225294815	0.5188792376926611	0.125085587358815	0.706477	140.0	251.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
TGFBR1	4.851845805765069	0.3028395938846559	0.5187873448869832	1.0	0.0883965	35.0	58.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
DHRS7	4.851658085530058	0.30285972209386886	0.5187584804984511	0.356116276511956	0.248247	28.0	75.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ZHX1	4.851534356506582	0.3028729894842936	0.5187394557558823	0.150740343395832	0.586507	68.0	113.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ZFP62	4.850778643461083	0.3029540346219711	0.5186232593668542	0.276402909210776	0.319981	83.0	146.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
RASGRP1	4.850149546427785	0.3030215147728079	0.5185265351432553	0.249544479753882	0.354532	63.0	122.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CNGA2	2.3878139371851166	0.303035	0.5185072083655871	NA	0.303035	NA	88.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ZPBP	4.849956723631864	0.3030422004252929	0.5184968892017248	0.379386043026625	0.233219	34.0	79.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
SLC35B1	4.849616456207683	0.30307870650799923	0.518444574918838	0.781869241993608	0.113184	34.0	68.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
RANBP10	4.849452315847813	0.3030963178487969	0.51841933960619	0.145800243144954	0.607011	71.0	139.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
PRAMEF19	4.848520392811152	0.3031963240683798	0.518276068364839	0.0885435996910057	1.0	40.0	80.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ENPP3	4.848459895874098	0.30320281704225066	0.5182667680128689	0.138762257649173	0.638115	88.0	333.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
TRMT10A	4.847874443854591	0.3032656579976379	0.51817676669744	0.866960980702801	0.102164	40.0	67.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
POLR3E	4.8475493052069005	0.30330056223431584	0.5181267846282267	0.684214362379071	0.129472	58.0	175.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
SCRG1	4.847519756083066	0.3033037345527831	0.518122242225832	0.665009501804231	0.133213	11.0	17.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ZNF205-AS1	2.3859734128686587	0.303314	0.5181075435883639	NA	0.303314	NA	24.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
APLN	2.385709677184179	0.3033539999999999	0.5180502741121387	NA	0.303354	NA	12.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
GP6	4.846331473626137	0.3034313283392279	0.5179395816822634	0.909097586178676	0.0975039	65.0	142.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
NUDT9	4.845986482296137	0.3034683806924418	0.5178865527144692	0.31462455706763	0.281783	32.0	77.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
GRID2IP	4.845137400049682	0.30355958881425427	0.5177560441175153	0.348570824053439	0.254449	117.0	306.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
BRINP2	4.844803473857781	0.30359546528072184	0.5177047196614968	0.304737964962998	0.291097	91.0	141.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ALDH3A2	4.844293066062758	0.3036503094299984	0.5176262719803364	0.158053553773988	0.561398	42.0	108.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
SYT2	4.843662793952284	0.3037180445355714	0.5175294049555355	0.568297109238331	0.156184	31.0	67.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ALG10	4.843443704658025	0.30374159291469716	0.5174957338093827	0.638696823418197	0.138984	50.0	87.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
C8orf82	4.841686918794706	0.30393047232986525	0.5172257549998047	0.729842503385223	0.121734	28.0	113.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
SECISBP2L	4.841527754030085	0.3039475896128127	0.5172012963394363	0.113922764260015	0.779947	81.0	164.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
UFD1L	2.381668617361467	0.30396755547558607	0.5171727691211162	0.303967555475586	NA	17.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ADD2	4.840924219457955	0.30401250365473925	0.5171085540340579	0.104728712565462	0.848674	65.0	142.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
RPTOR	4.840806429868673	0.3040251740267888	0.5170904542587724	0.131638547927375	0.675226	58.0	199.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
AC005943.2	2.3812273777738056	0.3040346241330709	0.517076955162057	0.304034624133071	NA	12.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
GPR182	4.840678866390219	0.3040388962489519	0.5170708527540717	0.246092836687215	0.361211	56.0	100.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
MRPS33	4.8403720237258785	0.3040719059442953	0.5170237036868317	0.366257908790652	0.242739	14.0	25.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
MREG	4.840241939223701	0.30408590114618694	0.5170037153256369	0.121905749569042	0.729341	19.0	38.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
SYT10	4.840164587995913	0.30409422326738134	0.5169918298622106	0.261408852499962	0.340135	60.0	86.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
AC005786.7	2.3807738177277016	0.30410358093085677	0.5169784658494398	0.304103580930857	NA	2.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
GRXCR2	4.839620788608089	0.3041527352901401	0.5169082735095483	0.537831337362994	0.165365	26.0	52.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
RPL10L	4.839559933952116	0.3041592837433552	0.5168989231860055	0.773886131355952	0.114928	23.0	53.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
PTPRG-AS1	2.3801923959811857	0.304192	0.5168522117213543	NA	0.304192	NA	108.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
RPS12	4.838981777076149	0.30422150393147795	0.5168100910433531	1.0	0.0889669	4.0	18.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
MEIOB	4.838898509221941	0.30423046593541975	0.5167972974325119	0.468076643247406	0.190077	46.0	82.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
SUPT7L	4.838752359896625	0.30424619631439476	0.5167748426130835	0.690939421270668	0.128777	42.0	80.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ABHD14B	4.838234630724248	0.3043019260899923	0.5166952987505808	0.624904451953587	0.142422	36.0	60.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ORC2	4.838209725929577	0.3043046071231489	0.5166914724429678	0.107394359978622	0.828733	39.0	70.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
TMEM239	4.838175644887042	0.30430827602292043	0.5166862363299324	0.498542323072164	0.178526	25.0	56.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
FAN1	4.837681803507934	0.3043614432581521	0.5166103651761474	0.164054344217105	0.542654	92.0	306.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
PIK3C2G	4.837426681765977	0.30438891282246705	0.5165711705207647	0.12543299509075	0.70983	143.0	302.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
IFT172	4.8373813588477415	0.30439379306379943	0.5165642075704031	0.522999915510794	0.170245	178.0	316.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CENPH	4.8363131158033195	0.30450883718263255	0.51640009914289	0.0890856904955707	1.0	20.0	60.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
TFAM	4.835598042358024	0.3045858669437822	0.5162902521842435	0.214422286855657	0.415617	20.0	45.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
NPTX1	4.8354987748033205	0.30459656160600496	0.5162750034424153	0.125038191007854	0.712758	18.0	63.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
MTF1	4.835219100829273	0.30462669415893373	0.5162320425037136	0.0891344343656739	1.0	48.0	90.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
BICDL1	4.835105633073781	0.3046389200738132	0.5162146128400494	0.886924813452488	0.100504	59.0	107.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CXCR6	4.834620005142998	0.30469125006970943	0.516140017392047	0.344526855025463	0.258793	21.0	43.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
MRPL13	4.833743018504448	0.30478577073319024	0.51600531238594	0.389563242839492	0.228975	13.0	33.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
DDX46	4.83372715402102	0.3047874808136781	0.5160028756697042	0.260430087791657	0.342514	32.0	75.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
TCTE3	4.833687507657034	0.3047917544495242	0.5159967861694119	0.10757489837266	0.829215	16.0	37.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
KRTAP10-10	4.8332517285152745	0.3048387320520816	0.5159298534485068	0.448492283093067	0.198938	31.0	67.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
RECQL	4.833031855828729	0.304862436913612	0.5158960831653383	0.183986472170524	0.484992	71.0	129.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CFP	4.83245282197229	0.30492487088237463	0.5158071514087568	0.37463769308846	0.238251	2.0	52.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
MRS2	4.832438944018413	0.30492636739421436	0.5158050199813092	0.525531807870859	0.169844	26.0	68.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
SPINK8	4.832396369838029	0.3049309583658096	0.5157984812925169	0.375128493222713	0.237946	10.0	13.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
