GENE	TEST_STAT	META_PVAL	-log10	GNE_PVAL	UKB_ALL_PVAL	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
LAT	19.628023892344753	0.00059131052796516	3.228184388552947	0.0008223600094526	0.0664916	25.0	72.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
RAB32	19.58768449818916	0.0006022328221356096	3.2202355788067654	0.0001896920070513	0.29413	15.0	37.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
OTX1	19.514590949610106	0.0006225346294150422	3.2058364852835304	6.85398347239907e-05	0.84434	21.0	48.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ZNF567	19.440179181449704	0.000643898097694755	3.191182857967188	0.318873565009143	0.000188365	44.0	86.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
FGL1	19.425842273702894	0.000648096766953811	3.188360145029833	0.0260051138185408	0.00232634	59.0	101.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
RP11-542C16.2	14.681751892587613	0.0006484822364755005	3.188101915811712	0.0006484822364755	NA	33.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
RTEL1	19.40374036347875	0.000654622599599533	3.1840090055786585	0.0009404913158028	0.0650394	183.0	396.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
RASAL1	19.307966573659012	0.0006836602686031182	3.1651596586955613	0.0161670106395972	0.00396916	89.0	177.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ATP6V0E1	19.00607773292738	0.0007837862341470582	3.1058023684242233	0.588968860018056	0.000126704	5.0	11.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ZGLP1	18.93009375434308	0.0008111917933482595	3.090876451651758	0.000131033870665	0.59156	24.0	38.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
RPL13A	18.731450930566062	0.0008873946658559577	3.0518831861629456	0.0172425098484899	0.00496497	13.0	55.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
