GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
SLC38A5	3.182148860876034	0.0014618666050575828	2.8350922548271984	NA	0.00146187	NA	41.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
NOG	3.1469551499090405	0.0016498026602036063	2.7825680004588884	NA	0.0016498	NA	34.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
ZNF736	3.139328793562281	0.0016933533222532513	2.77125241584536	0.226885	0.00123248	8.0	78.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
H2BC21	3.1319719959929593	0.0017363643641062226	2.760359135889568	NA	0.00173633	NA	16.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
ARRDC5	3.118083009237526	0.001820315267238527	2.7398533884080076	0.00113675	0.24795	13.0	78.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
DGKB	-3.087818837230433	0.0020163134776177575	2.6954419469209414	0.00697771	0.0951326	9.0	100.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
TMEM135	-3.06925063819342	0.0021459647113285444	2.668377423936375	0.0130343	0.0632057	12.0	68.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
RAP1A	3.0681816419426635	0.002153656667099834	2.666823530132107	NA	0.00215365	NA	29.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
OR4C13	3.067527019498415	0.0021583794694833612	2.6658721986638745	0.00555762	0.117504	8.0	79.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
C17orf64	3.064530793978742	0.0021801172933063676	2.661520140126873	0.246983	0.00149226	6.0	51.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
