GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
IFITM10	-1.5195053022444778	0.12863535441720142	0.8906396525773208	0.553556	0.119597	4.0	55.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
ENPEP	-1.518546012834963	0.1288768091552195	0.8898252250984259	0.622222	0.0979551	27.0	135.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
USP43	1.5183496962261809	0.12892626575005428	0.8896585961588614	0.151807	0.47517	16.0	120.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
SLC17A3	1.5182436138329316	0.12895299644072522	0.8895685618428114	0.888264	0.0221599	5.0	37.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
RAB14	-1.5179742844055266	0.12902088153787458	0.8893399951056908	NA	0.129021	NA	13.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
TNFSF8	-1.5178468549784019	0.1290530100896451	0.8892318613248611	0.725453	0.0725933	4.0	26.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
AGFG2	-1.5171766522911683	0.12922208939975358	0.8886632411054196	0.134604	0.516067	6.0	55.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
STAM	1.5170292734695165	0.12925929332371472	0.8885382227476346	0.215818	0.364048	10.0	76.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
CCNB2	1.5168476627281695	0.1293051501056718	0.8883841772237685	0.132361	0.521986	11.0	69.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
HEATR5A	1.5168252895852918	0.12931080020689453	0.8883652007624896	0.0825106	0.682675	47.0	329.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
ZNF783	1.5168113288656666	0.1293143259365202	0.8883533596475597	0.00864541	0.630751	14.0	80.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
TEPSIN	1.5168105857693666	0.12931451360491597	0.8883527293748581	0.29197	0.275147	12.0	62.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
CCDC159	1.516754466122368	0.12932868718957752	0.8883051309102972	0.0891722	0.656152	6.0	43.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
HHATL	-1.5167159898237526	0.12933840546525102	0.8882724975091383	0.063073	0.774661	17.0	92.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
