GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	8.238613954899417	1.742170817685006e-16	15.758909265206077	2.17967e-05	1.30653e-13	10.0	78.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
TREML1	4.252300914227647	2.115852895874729e-05	4.674514529798792	NA	2.11602e-05	NA	22.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
DCDC2C	4.213590212408371	2.5134312974487906e-05	4.599732981351627	6.9745e-05	0.0475066	9.0	47.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
XKR7	-3.8947858225955003	9.828553555353588e-05	4.007510391542242	0.000236693	0.0669764	13.0	104.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
MRPL42	3.819807466278614	0.00013355588352816224	3.87433697527621	NA	0.00013356	NA	28.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
STAP2	3.722191244180043	0.0001975013404763311	3.704429952394493	0.0796348	0.000446145	5.0	62.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
HYDIN	-3.619924198946537	0.0002946893316715079	3.530635586172673	0.0664961	0.00102245	46.0	424.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
TMEM151A	-3.5617964667334405	0.000368325881810903	3.433767762728781	0.000172228	0.200355	11.0	88.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
FLNC	3.556914314463104	0.0003752364805251228	3.425694946090975	0.175174	0.000238332	76.0	475.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
SLC25A4	3.4810799398469503	0.0004993964208630959	3.30155457452968	NA	0.0004994	NA	33.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
POU3F3	3.481078441204248	0.0004993992151238828	3.3015521445390053	0.0342842	0.00501166	5.0	73.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
TAP1	3.475433279150959	0.0005100288479769902	3.292405258876772	0.00349938	0.0460516	12.0	90.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
MON1B	-3.437642521310193	0.0005868018226598736	3.2315085458684685	0.00709782	0.0300571	16.0	111.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
CDKN2C	3.4246700159925596	0.0006155465667109576	3.2107390866796677	NA	0.000615585	NA	26.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
SORCS3	-3.2993803567600852	0.0009689852251150749	3.0136828449305693	0.00978415	0.0372816	24.0	189.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
GH2	-3.2746840675985913	0.0010578020127080718	2.975595610972567	0.0062393	0.0579368	6.0	31.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
PRB1	3.1975050981391795	0.0013862196097160604	2.858167961836321	NA	0.00138626	NA	28.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
TMEM209	3.1794898695442346	0.001475345263083849	2.831106333377041	0.00617103	0.0787594	15.0	100.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
DGKB	-3.1791028950805975	0.0014773163885186136	2.8305264843271774	0.0397529	0.0147026	10.0	93.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
ATP1A1-AS1	3.1746288051466673	0.0015002828776575232	2.823826847195569	NA	0.00150027	NA	51.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
RHBDF1	3.164933711457116	0.0015511828662614113	2.8093370009440615	0.0545514	0.0106661	14.0	210.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
TXLNG	-3.1560460144173463	0.0015992362901169625	2.7960873637006434	NA	0.00159925	NA	45.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
SULT1A1	3.1355399442669705	0.0017153806612456156	2.7656394903535397	0.0478017	0.0140811	5.0	39.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
EMP1	3.118531711485779	0.001817545819723466	2.7405146319119864	NA	0.00181759	NA	19.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
LIG3	3.1116433717687517	0.0018604910686698805	2.7303724104780813	0.0192493	0.0394111	14.0	146.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
CGN	3.100426761284038	0.0019324199663250518	2.7138984839054534	0.0118721	0.0616586	36.0	231.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
RRNAD1	-3.0974520244251296	0.0019519198792956871	2.709538012844479	0.0025546	0.172672	15.0	87.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
