GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,UKB_SIBLING_PROXY_PVAL,UKB_PARENT_PROXY_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,UKB_SIBLING_PROXY_SIG,UKB_PARENT_PROXY_SIG,SIG_DATASET
STK38L,1.1997541870035686e-06,,1.3832051563023e-06,0.191113,0.232684,0.010716,0.01,0,1,0,0,1,2
LRRK2,4.216598436233127e-06,2.23407e-07,0.0115710096063825,0.408726,0.734602,0.485027,0.01,1,1,0,0,0,2
OR1G1,6.5648162477897655e-06,0.848285,0.0294867181866114,0.619956,6.58036e-07,0.063183,0.01,0,1,0,1,0,2
TREML1,1.8462814785736145e-05,0.631015,0.0147580872937318,0.503989,0.0503116,9.70351e-06,0.01,0,1,0,0,1,2
TMSB4X,3.5196315013762945e-05,,,0.000358241,,0.0070756,0.01,0,0,1,0,1,2
DPF2,6.215915078300312e-05,0.528104,0.012185492048181,0.190515,0.0754758,0.000112313,0.01,0,1,0,0,1,2
CD69,8.286511850334394e-05,,0.0279343733227742,3.15376e-05,,0.816614,0.01,0,1,1,0,0,2
ARSA,8.733678527400833e-05,0.359562,0.296233861194671,0.00265311,0.00012527,0.450737,0.01,0,0,1,1,0,2
FOLH1,0.0001739361460716,1.0,0.0020150535643239,0.0806353,0.00148676,0.158685,0.01,0,1,0,1,0,2
FAM229A,0.0002615809106823,0.175385,0.0408255017751211,0.182309,0.557816,8.89638e-05,0.01,0,1,0,0,1,2
RAP1A,0.0002828770232875,1.0,0.0920448597787588,0.00012297,0.581545,0.0108887,0.01,0,0,1,0,1,2
MSR1,0.0003157314620005,0.08843,0.0116221506234608,0.000741166,0.8412,0.128956,0.01,0,1,1,0,0,2
CDKN2C,0.0003197085037843,,0.236368052202411,0.00131868,0.0129654,0.126073,0.01,0,0,1,1,0,2
KLF8,0.0003644803100607,,,0.00106804,0.0152323,0.247298,0.01,0,0,1,1,0,2
CFI,0.0003793960023325,0.0823215,0.003706706126469,0.00093113,0.433905,0.85085,0.01,0,1,1,0,0,2
TSPAN4,0.0004310348373184,0.512093,0.293286490144059,3.58214e-05,0.044752,0.514514,0.01,0,0,1,1,0,2
PSIP1,0.0005310633943351,0.00365964,0.135324014866093,0.445359,0.901814,0.000818361,0.01,1,0,0,0,1,2
FLNC,0.000607521031628,0.0363646,0.24462753011229,0.523619,0.404538,0.00010308,0.01,1,0,0,0,1,2
KBTBD11,0.000614758998313,0.155962,,0.00193004,0.390493,0.00978585,0.01,0,0,1,0,1,2
MRPS18B,0.0006390884751048,0.415198,0.127314904875765,0.000386261,0.0271237,0.37492,0.01,0,0,1,1,0,2
MPV17L,0.0006963136696588,0.0372027,,0.225812,0.259692,0.000616507,0.01,1,0,0,0,1,2
TTC12,0.0008036265138327,0.791381,0.0004878248512421,0.00366532,0.872479,0.227648,0.01,0,1,1,0,0,2
EVI5L,0.0008100390336334,0.0495293,0.757330443398479,0.818491,0.202809,4.56149e-05,0.01,1,0,0,0,1,2
TRIM42,0.0008245894345056,0.218453,0.339472736281783,0.0115185,0.441124,0.00077177,0.01,0,0,1,0,1,2
XPNPEP1,0.0008550245390928,0.857696,0.0001595057233301,0.655436,0.803191,0.00423677,0.01,0,1,0,0,1,2
RPUSD1,0.0008683521834475,4.29573e-05,1.0,0.353939,0.0365033,0.561197,0.01,1,0,0,1,0,2
RNF157-AS1,0.0009191874844093,0.00685371,,0.68706,0.000921161,0.440093,0.01,1,0,0,1,0,2
RIC8A,0.0009866181711305,0.532174,0.403520005888458,0.0100792,0.000555795,0.306849,0.01,0,0,1,1,0,2
SUSD1,0.001009826901779,0.641268,0.198486284972419,0.00284915,0.89023,0.00117939,0.01,0,0,1,0,1,2
TTI2,0.0010131208233606,0.00222148,0.14478520283565,0.825909,0.00217335,0.662373,0.01,1,0,0,1,0,2
RUSF1,0.0011232546398752,0.710926,,0.0325106,0.526623,0.000202238,0.01,0,0,1,0,1,2
ADRA2C,0.001149869227938,0.618281,0.830448775015171,3.04155e-05,0.0425163,0.682089,0.01,0,0,1,1,0,2
NCS1,0.0011740027520749,,0.24375344844587,0.0122075,0.00124793,0.701213,0.01,0,0,1,1,0,2
RNF157,0.0012086671309884,0.00181179,0.67459978833727,0.770373,0.000992954,0.517859,0.01,1,0,0,1,0,2
AJM1,0.001368678481318,0.0144989,,0.00664887,0.178539,0.18397,0.01,1,0,1,0,0,2
OR5C1,0.0014360051854166,0.72681,0.481672522986615,0.000421648,0.367776,0.0112422,0.01,0,0,1,0,1,2
ARHGAP24,0.0014691920493104,0.00117271,0.0053034612468804,0.383616,0.786573,0.335383,0.01,1,1,0,0,0,2
ZNF227,0.0014993784626239,0.161983,0.168049616946532,0.0307735,0.0106538,0.0724848,0.01,0,0,1,1,0,2
RAP1GDS1,0.001655024207909,0.000917862,0.103149561940138,0.0127423,1.0,0.61274,0.01,1,0,1,0,0,2
ASMT,0.0017671101538123,,0.0237890736285009,0.00390125,0.134661,0.351511,0.01,0,1,1,0,0,2
DMC1,0.0018847529008498,0.00397551,0.449298079836146,0.609527,0.00114805,0.705342,0.01,1,0,0,1,0,2
PI4K2A,0.001966147932118,0.00224289,0.0045650544489822,0.863638,0.499856,0.211254,0.01,1,1,0,0,0,2
KRTAP5-3,0.0019904641287958,,,0.0333481,0.0166138,0.0548532,0.01,0,0,1,1,0,2
LOC101928295,0.0021038837238389,0.210194,,0.00508025,0.00759598,0.678136,0.01,0,0,1,1,0,2
EDC3,0.0021045877924915,0.145381,0.309910689679361,0.023379,0.0895405,0.0108612,0.01,0,0,1,0,1,2
NEK2,0.0021454828247246,0.89235,0.013165266402973,0.8393,0.000134212,0.794674,0.01,0,1,0,1,0,2
DMWD,0.0022382940450673,0.902915,0.0402575924296065,0.00031301,0.113396,0.863599,0.01,0,1,1,0,0,2
ZNF790-AS1,0.002268693648016,0.306494,,0.0163003,0.00394318,0.307826,0.01,0,0,1,1,0,2
MRPL15,0.0022730089691725,0.0103244,0.328914241590749,0.0806175,0.0365828,0.113616,0.01,1,0,0,1,0,2
BUD13,0.002368876867674,0.000635863,0.659748421800783,0.0477039,0.378695,0.158869,0.01,1,0,1,0,0,2
SULT1A1,0.0023735472754981,0.0678734,0.708927186575601,0.00137393,0.49073,0.0372123,0.01,0,0,1,0,1,2
RSRC2,0.0023795370458669,0.574191,0.0043322126538551,0.0872634,0.0313458,0.178039,0.01,0,1,0,1,0,2
SNTG2,0.0024057662482673,0.00076553,0.249338495470366,0.00954737,0.674798,1.0,0.01,1,0,1,0,0,2
LOC105371046,0.0024091426574673,0.663009,,0.00184318,0.0319435,0.167921,0.01,0,0,1,1,0,2
