GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
KIF9	33.94284927940915	6.900515712314006e-06	5.161118450908725	0.712456	0.80173649703787	7.45786e-08	25.0	82.0	48.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP2
LRRK2	33.32889165453918	9.06322517947868e-06	5.04271722965175	0.72484	2.09752736968216e-06	0.0380867	53.0	176.0	116.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP2
OR2T8	32.24998830056022	1.4612121034164067e-05	4.83528673912561	0.0166115	0.0025977389864544	0.00230144	5.0	5.0	18.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP2
SLC6A14	27.39699940655811	1.652304845527301e-05	4.781909823531043	NA	0.695630314370337	1.61599e-06	NA	14.0	8.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP2
GBA	31.703809021453072	1.8595159944106737e-05	4.73060008175544	0.0222411	0.0229765228840815	0.000255367	15.0	16.0	30.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP2
CSNK1A1P1	20.138361854043588	4.23653e-05	4.372989713891035	NA	NA	4.23653e-05	NA	NA	5.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP2
JADE1	27.83870338264824	0.0001007671622900892	3.996680971458602	0.0575336	0.102239804963478	0.000153236	6.0	43.0	25.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP2
S100B	23.47155924288837	0.00010191572658969164	3.9917587949520663	NA	0.0425704895985266	0.000187978	NA	3.0	4.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP2
DIAPH2	23.318780713952727	0.00010934625093002942	3.961196102688645	NA	0.0001749680565859	0.0493665	NA	12.0	29.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP2
RAP1A	23.142527137127708	0.00011858862003935975	3.9259569845909486	NA	0.0920448597787588	0.000102486	NA	6.0	7.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP2
SBF2-AS1	22.897969424871427	0.00013270981678904152	3.877096950386341	0.768542	NA	1.38708e-05	3.0	NA	26.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP2
ADI1	26.803406049574868	0.0001576162194980139	3.80239909347057	0.691168	0.0005629984854172	0.00388708	17.0	34.0	23.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP2
