GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
VAC14	14.309519259297074	0.0007811372950561998	3.1072726265005137	NA	0.0007811372950562	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
DNAJC6	14.243111697464304	0.0008075094107691002	3.0928524076702026	NA	0.0008075094107691	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ULK4	18.900653853673944	0.0008220628844660164	3.085094959428325	NA	0.368435111311404	0.000213508	NA	17.0	12.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
TRMT10A	18.81223205113028	0.0008555873952811854	3.0677356221839016	NA	0.469440386688036	0.000175144	NA	10.0	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ZBTB45	18.800145490996293	0.0008602737162760005	3.0653633457854137	NA	0.0007309249703731	0.113169	NA	3.0	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
SLC17A1	14.071495857064463	0.0008798598464866005	3.055586501423783	NA	0.0008798598464866	NA	NA	12.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
RP11-400G3.5	14.047205865049218	0.0008906108943775006	3.0503119966749352	NA	0.0008906108943775	NA	NA	10.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ATF6	14.02429155406529	0.0009008734394038996	3.0453362172664677	NA	0.0009008734394039	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
NOC2L	13.897994134239934	0.0009595970827040997	3.0179110810120826	NA	0.0009595970827041	NA	NA	15.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
RMDN1	13.78267532564835	0.0010165531257841	2.9928699198965916	NA	0.0010165531257841	NA	NA	6.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
SLC25A26	18.430238939262445	0.0010166416886025805	2.9928320855059862	NA	0.672440628947805	0.000148003	NA	3.0	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
OR8B4	13.756065304089143	0.0010301687532595	2.9870916271333465	NA	0.0010301687532595	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
SMIM14	13.419317265362947	0.0012190802077207007	2.9139677196280815	NA	0.0012190802077207	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
LOC105377267	13.3570684662158	0.0012576199999999999	2.900450564640727	NA	NA	0.00125762	NA	NA	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
CHRNB3	17.90773425694864	0.0012864021391005046	2.8906232464261796	NA	0.70956388733474	0.000182135	NA	9.0	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
KLRF2	13.300231190082739	0.0012938725315722007	2.888108506945227	NA	0.0012938725315722	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
CGNL1	17.793119868535893	0.00135443251715767	2.8682426282507003	NA	0.24553045526877	0.000557401	NA	5.0	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
GALNT14	17.76665944689859	0.001370636221172893	2.863077795466486	0.0337169	0.0041131190727847	NA	2.0	6.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ZNF528	17.681340927597162	0.0014241977325693547	2.846429709995374	NA	0.42155239143249	0.000343316	NA	11.0	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
LZIC	13.071573692999566	0.0014505871891337006	2.8384561623307114	NA	0.0014505871891337	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
SIRT4	12.958598892970336	0.0015348855722530006	2.8139239962073024	NA	0.001534885572253	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
MISP3	12.742712955544173	0.0017098382941356004	2.767044960534956	NA	0.0017098382941356	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ASPDH	12.730570019871786	0.0017202511008671004	2.764408155556644	NA	0.0017202511008671	NA	NA	5.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
OGFOD1	12.574767222357767	0.0018596190739572993	2.73057600794393	NA	0.0018596190739573	NA	NA	5.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
LONP2	20.963389321831684	0.001862609339353209	2.729878223769482	0.386792	0.0002006122129412	0.361429	4.0	11.0	7.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
IL6R	12.535867314343104	0.0018961426186495007	2.7221290002452734	NA	0.0018961426186495	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
POLB	12.478703424626215	0.0019511200000000013	2.709716019311188	NA	NA	0.00195112	NA	NA	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
LOC105371046	16.932584348045996	0.0019921219986587086	2.700684068662381	0.600885	NA	0.000350223	2.0	NA	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
LOC654780	12.418306009078515	0.002010939999999999	2.6966008871643967	NA	NA	0.00201094	NA	NA	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
MYLK2	12.241079836850925	0.0021972692965408986	2.6581167128407577	NA	0.0021972692965409	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
FIBCD1	20.544928335516204	0.002213796256277811	2.654862351319054	1.0	0.581681727567489	5.94347e-05	2.0	5.0	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
NSUN6	16.681271120047278	0.0022288684072734673	2.6519155715745093	NA	0.555767950835945	0.000429353	NA	8.0	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ALMS1	16.626491631328545	0.0022840430300769686	2.64129571848707	NA	0.0913154154496196	0.00268571	NA	22.0	19.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
LOC101930071	12.16340005004148	0.002284289999999999	2.641248761457376	NA	NA	0.00228429	NA	NA	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
SPINK4	12.120749665151733	0.002333526042001901	2.6319873480530425	NA	0.0023335260420019	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
C3orf52	16.46170141620932	0.0024582649171788367	2.609371316783429	NA	0.184513155216609	0.00144331	NA	4.0	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
MMACHC	16.460079845222033	0.0024600427557674243	2.6090573447533285	0.0661555	0.0040287759844425	NA	2.0	7.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
CDH5	16.403040501306403	0.002523391281307855	2.5980154018259554	NA	0.497674099199813	0.000551036	NA	3.0	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
DCP1B	11.95928236291949	0.0025297338448016004	2.5969251688694084	NA	0.0025297338448016	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
PRMT2	11.870368682065084	0.002644735176389301	2.5776178083890207	NA	0.0026447351763893	NA	NA	5.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ELAVL3	11.809003675938559	0.00272714	2.5642925666176666	NA	NA	0.00272714	NA	NA	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
OXLD1	11.765051627837392	0.0027877350749843	2.554748500638325	NA	0.0027877350749843	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
CYP26A1	11.74384086041478	0.0028174574049145014	2.5501426410140375	NA	0.0028174574049145	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
SPATA22	11.742349862136795	0.0028195586001062995	2.54981887485171	NA	0.0028195586001063	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
BRF1	16.11868987843624	0.0028639653618249454	2.5430322388988396	NA	0.221109713769642	0.00142976	NA	4.0	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ZNF567	11.665580062994264	0.0029298910776808006	2.5331485247794987	NA	0.0029298910776808	NA	NA	8.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
RAB3IL1	16.032760966631532	0.002975516901812776	2.5264375784715525	NA	0.867449134930821	0.00038044	NA	9.0	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
KIN	11.61393998608363	0.0030065260798255006	2.521935024555825	NA	0.0030065260798255	NA	NA	8.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ACSBG2	11.580024045999751	0.0030579454105249997	2.51457027174233	NA	0.003057945410525	NA	NA	5.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
SP110	11.450821757133987	0.0032620127094824	2.486514351190494	NA	0.0032620127094824	NA	NA	7.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
AC010547.9	11.425093769004741	0.003304246285443498	2.4809275895529925	NA	0.0033042462854435	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
LYPLA2	11.286185521829543	0.0035418972080708006	2.4507640469334717	NA	0.0035418972080708	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
TRAPPC3L	19.38093651885495	0.0035664004313524333	2.447769896336367	0.630289	0.0004271199831334	0.229823	3.0	4.0	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
PML	11.156995107591586	0.003778237855659502	2.4227107049243015	NA	0.0037782378556595	NA	NA	6.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
SEMG2	11.079846018851933	0.0039268291554985	2.405957993162554	NA	0.0039268291554985	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
LTK	19.087237650688202	0.00401881109171508	2.395902407780079	0.2569	0.070392376453186	0.0039625	2.0	14.0	7.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
OR2L5	10.994571977739524	0.0040978780465463025	2.3874409704101986	NA	0.0040978780465463	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
FCRL6	15.289509512311426	0.0041369271306659575	2.3833221288575435	NA	0.001202562337604	0.39794	NA	3.0	7.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
BPIFB3	15.209599659808717	0.004285664502271212	2.3679818301479725	NA	0.22398491968661	0.00222361	NA	5.0	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
NUPL2	10.894062746984225	0.0043090777646056	2.365615668261515	NA	0.0043090777646056	NA	NA	6.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
PRPF6	15.150697607124444	0.004398652062003281	2.3566803898140543	NA	0.0139710109240796	0.0367147	NA	2.0	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
FNDC1	15.134293282074028	0.004430637007533464	2.353533829314539	NA	0.72594279887666	0.000712406	NA	4.0	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ZNF684	10.838356520227801	0.0044307861059527985	2.353519214817532	NA	0.0044307861059528	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
GOLGA6L2	15.131065175609933	0.004436957984043371	2.3529146838334816	NA	0.460810252603425	0.00112411	NA	6.0	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
NPW	10.832124560921157	0.004444613877646599	2.3521659620483715	NA	0.0044446138776466	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
GLIS2	10.775337665213364	0.004572620464522597	2.339834844323217	NA	0.0045726204645226	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
TMBIM6	10.7401423933907	0.004653799963309801	2.3321922881523824	NA	0.0046537999633098	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
SPNS1	10.70375188646366	0.0047392520872172	2.324290189976345	NA	0.0047392520872172	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ZNF484	14.919119355108055	0.004871942489856472	2.312297846911594	NA	0.183883911988223	0.00313192	NA	4.0	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
VPS13A	14.9099698933208	0.004891634661661932	2.310545986294202	NA	0.786268301542406	0.000735818	NA	28.0	14.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
OSBPL3	10.629165135623685	0.004919331814254401	2.308093882819898	NA	0.0049193318142544	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
CTTNBP2	14.889484868731092	0.004936007940160284	2.3066241503595344	NA	0.144377880383337	0.00404845	NA	8.0	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
CCDC105	10.553073104168922	0.005110098739859297	2.2915707081310916	NA	0.0051100987398593	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
