GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
ZSCAN25	16.734548620348455	0.0002323480000000001	3.633861061479505	NA	NA	NA	NA	0.000232348	NA	NA	NA	NA	16.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
CAPN10	28.43294388583221	0.0003985561534426236	3.399510481263571	NA	0.0111847897236652	0.00229306	0.104039	0.250972	NA	6.0	4.0	4.0	18.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
TRAPPC3L	18.400041269788527	0.0010305827174909089	2.9869171447793352	NA	0.0020760267795094	NA	NA	0.0486686	NA	4.0	NA	NA	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
SOAT2	25.418727348222625	0.0013197852288585263	2.8794967366051525	NA	0.0217959810802337	0.0498089	0.00736437	0.378072	NA	8.0	6.0	7.0	13.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
GLIPR2	13.04540756956893	0.0014696900000000011	2.832774260821349	NA	NA	NA	NA	0.00146969	NA	NA	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
RP11-400G3.5	12.58234114487212	0.0018525900862234994	2.7322206643211024	NA	0.0018525900862235	NA	NA	NA	NA	10.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
NOC2L	12.201260984690983	0.002241454054256101	2.6494701589563654	NA	0.0022414540542561	NA	NA	NA	NA	15.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
SLC17A1	12.109251905860592	0.002346979837439001	2.6294906413458454	NA	0.002346979837439	NA	NA	NA	NA	12.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
ZNF587B	12.039331424673557	0.0024304819393666977	2.614307601770071	NA	0.0024304819393667	NA	NA	NA	NA	7.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
TRAP1	11.516477329227266	0.003156666653530599	2.5007712775236506	NA	0.0031566666535306	NA	NA	NA	NA	10.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
EQTN	11.506193352218379	0.003172939999999999	2.4985381402901603	NA	NA	NA	NA	0.00317294	NA	NA	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
LY6K	11.409262724352342	0.0033305049089436974	2.477489921885342	NA	0.0033305049089437	NA	NA	NA	NA	4.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
