GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
B3GNT3	3.7627128962512315	0.00016808011939440672	3.774483652104284	NA	0.0004551017125469	NA	NA	0.0694624	NA	3.0	NA	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP3
TRAPPC3L	3.3006033083881463	0.000964771871982724	3.015575366916989	0.598795	0.0020760267795094	0.312286	0.427672	0.0486686	3.0	4.0	2.0	3.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP3
ANGEL2	3.186376810592727	0.0014406682623369336	2.841436011151796	NA	0.0095470924663894	0.0251551	NA	0.491362	NA	2.0	2.0	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP3
RP11-400G3.5	3.112899632413066	0.0018525900862235362	2.732220664321094	NA	0.0018525900862235	NA	NA	NA	NA	10.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP3
NOC2L	3.056221764227844	0.0022414540542561086	2.6494701589563636	NA	0.0022414540542561	NA	NA	NA	NA	15.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP3
SLC17A1	-3.042402310276703	0.002346979837439067	2.629490641345833	NA	0.002346979837439	NA	NA	NA	NA	12.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP3
CAPN10	3.0319251184535547	0.002429994771146659	2.614394660913867	NA	0.0111847897236652	0.00229306	0.104039	0.250972	NA	6.0	4.0	4.0	18.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP3
ZNF587B	3.0318646066294477	0.002430481939366744	2.6143076017700624	NA	0.0024304819393667	NA	NA	NA	NA	7.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP3
ECD	2.968152239672924	0.002995959030507733	2.52346412987313	NA	0.123719215446128	0.0918517	NA	0.055374	NA	7.0	2.0	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP3
SPINK4	2.9538173935838454	0.003138696669075228	2.503250653497855	NA	0.0031386966690752	NA	NA	NA	NA	2.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP3
FLYWCH1	2.9367584241373876	0.00331662354944501	2.479303819911573	NA	0.0698803743089678	0.407921	NA	0.0144303	NA	14.0	3.0	NA	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP3
LY6K	2.9354628482829033	0.0033305049089437312	2.4774899218853377	NA	0.0033305049089437	NA	NA	NA	NA	4.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP3
USP13	2.910664026056153	0.00360661604781899	2.442900089228362	NA	0.0036066160478189	NA	NA	NA	NA	6.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP3
ULK4	2.8658699138572468	0.004158650953848297	2.3810475295458753	NA	0.253991440943902	0.00106552	0.217623	0.931843	NA	17.0	12.0	7.0	26.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP3
KCNA3	2.821557982124335	0.004779099739915244	2.3206539056493662	NA	0.0599642476389752	NA	NA	0.0349244	NA	3.0	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP3
KIN	2.806766914058083	0.005004143607014746	2.3006702355815043	NA	0.0050041436070147	NA	NA	NA	NA	8.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP3
MYL1	2.7369428798787965	0.006201305958530651	2.207516841008541	NA	0.206082374237051	NA	NA	0.00915505	NA	3.0	NA	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP3
ING1	2.6961686032346894	0.007014215341954658	2.154020905066005	NA	0.0543741447748026	0.562926	NA	0.0301918	NA	7.0	4.0	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP3
