GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
HIST2H2AB	0.43024328639105075	0.806443335866202	0.09342614257777689	NA	0.806443335866202	NA	NA	8.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
PKP3	3.018977218510364	0.8064612473111051	0.09341649682220547	0.593995	0.430387848554198	0.864559	49.0	106.0	283.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
CKM	3.018543626776375	0.8065158360182925	0.09338710077614906	0.833283	0.82780355103572	0.320488	15.0	41.0	87.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
CD53	1.612322526550712	0.8065757034291102	0.09335486443302767	NA	0.916836471328926	0.487076	NA	20.0	26.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
CHCHD2	3.0180466770092282	0.8065783966975681	0.09335341426576904	0.652493	0.44467892157683	0.762109	7.0	20.0	33.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
PKN2	3.01754251572701	0.8066418600616514	0.09331924436401744	0.48114	0.607216776594555	0.757066	11.0	47.0	100.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
SLC23A1	3.017515757092138	0.8066452282687658	0.0933174309313379	0.304308	0.804296475611878	0.903702	9.0	49.0	90.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
PARP16	3.017334795220248	0.8066680062154307	0.09330516755143767	0.449495	0.857406606320526	0.573961	10.0	30.0	48.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
NRG4	3.016962683579438	0.8067148423656197	0.09327995260434149	0.488741	1.0	0.452685	2.0	16.0	20.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
TNFSF13	3.0168551079025723	0.8067283819412633	0.09327266364257222	0.671445	0.714137708960142	0.46143	7.0	19.0	22.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
HNRNPA1L2	3.016817513413112	0.8067331135630266	0.09327011642687728	0.570631	0.81151360351009	0.47781	10.0	25.0	46.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
MORN1	3.016372960318103	0.8067890625727423	0.09323999803550144	0.921454	0.369629772347439	0.649774	35.0	88.0	173.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
ZXDC	3.0157557531624604	0.8068667341498282	0.09319818944481723	0.502723	0.565640713234278	0.778516	15.0	64.0	147.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
