GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
YJEFN3	12.585723148785052	0.0018494599999999992	2.7329550571396837	NA	NA	NA	NA	0.00184946	NA	NA	NA	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
OGFOD1	12.574767222357767	0.0018596190739572993	2.73057600794393	NA	0.0018596190739573	NA	NA	NA	NA	5.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
GOLGA6C	16.991007620320524	0.001940741025895471	2.7120324133639984	NA	NA	NA	0.000267359	0.76446	NA	NA	NA	4.0	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
NRBF2	12.472991796360441	0.001956700000000001	2.7084757549919343	NA	NA	NA	NA	0.0019567	NA	NA	NA	NA	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
AUNIP	24.300493377978828	0.0020403761723431775	2.690289756832822	NA	0.0238345148633997	0.000683722	0.324436	1.0	NA	8.0	5.0	8.0	14.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
PLK4	20.733468271447187	0.0020482095197147505	2.6886256196679983	NA	0.493454822070157	0.405152	NA	0.000157369	NA	4.0	4.0	NA	11.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
TRAPPC6A	12.36367203538415	0.0020666299999999986	2.684737270514441	NA	NA	NA	NA	0.00206663	NA	NA	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
SLC25A26	20.614847510270717	0.002150916568501808	2.667376435052801	NA	NA	0.000148003	0.497528	0.453372	NA	NA	6.0	5.0	10.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
TRAP1	12.181714992780298	0.0022634671674872995	2.645225800741297	NA	0.0022634671674873	NA	NA	NA	NA	10.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
BPIFB3	16.488455733154634	0.0024291144200281668	2.6145520278805434	NA	0.0338754176473832	NA	NA	0.00775698	NA	6.0	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
BRDT	20.318647020351694	0.002429859300816345	2.6144188731704743	NA	0.333911435282822	NA	0.486788	0.000238172	NA	6.0	NA	5.0	12.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
ANGEL1	12.035672637237152	0.0024349323172642994	2.6135131061730266	NA	0.0024349323172643	NA	NA	NA	NA	8.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
CCR5	12.030464141416754	0.0024412817488213977	2.6123820956761197	NA	0.0024412817488214	NA	NA	NA	NA	4.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
OTUD7B	12.01643214749854	0.0024584700000000004	2.609335086911729	NA	NA	NA	NA	0.00245847	NA	NA	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
DCP1B	11.95928236291949	0.0025297338448016004	2.5969251688694084	NA	0.0025297338448016	NA	NA	NA	NA	4.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
PRMT2	11.870368682065084	0.002644735176389301	2.5776178083890207	NA	0.0026447351763893	NA	NA	NA	NA	5.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
ALG8	11.690816133480181	0.002893153871907502	2.5386284678579765	NA	0.0028931538719075	NA	NA	NA	NA	7.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
ZNF567	11.665580062994264	0.0029298910776808006	2.5331485247794987	NA	0.0029298910776808	NA	NA	NA	NA	8.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
LOC105371046	11.646970704059807	0.002957279999999999	2.529107553831003	NA	NA	NA	NA	0.00295728	NA	NA	NA	NA	11.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
KIN	11.61393998608363	0.0030065260798255006	2.521935024555825	NA	0.0030065260798255	NA	NA	NA	NA	8.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
ACSBG2	11.580024045999751	0.0030579454105249997	2.51457027174233	NA	0.003057945410525	NA	NA	NA	NA	5.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
PCDHA8	11.57427865672457	0.0030667425836541015	2.513322676313031	NA	0.0030667425836541	NA	NA	NA	NA	10.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
OR4D2	11.53456307243822	0.0031282500000000013	2.5046985467624685	NA	NA	NA	NA	0.00312825	NA	NA	NA	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
SLC22A15	15.897424994706538	0.0031599381307266337	2.50032142046611	NA	0.608009143853685	NA	NA	0.000580775	NA	4.0	NA	NA	15.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
SP110	11.450821757133987	0.0032620127094824	2.486514351190494	NA	0.0032620127094824	NA	NA	NA	NA	7.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
ING1	19.582280062140157	0.0032853386513882307	2.4834198568960573	NA	0.0456285473708788	0.40809	NA	0.00300448	NA	7.0	4.0	NA	7.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
PHF8	11.363364976622675	0.003407820000000001	2.467523352599951	NA	NA	NA	NA	0.00340782	NA	NA	NA	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
CDK5RAP2	22.895604289722947	0.00350089595333935	2.455820796279255	NA	0.0577298299094907	0.841452	0.0143701	0.0152895	NA	13.0	11.0	5.0	29.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
CHRNB3	19.311863906583667	0.0036681147103212624	2.4355570914097124	NA	0.70956388733474	0.000182135	NA	0.495561	NA	9.0	4.0	NA	12.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
PML	11.156995107591586	0.003778237855659502	2.4227107049243015	NA	0.0037782378556595	NA	NA	NA	NA	6.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
OR2L5	10.994571977739524	0.0040978780465463025	2.3874409704101986	NA	0.0040978780465463	NA	NA	NA	NA	4.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
GALNT14	10.987147279608164	0.0041131190727847	2.3858287176960755	NA	0.0041131190727847	NA	NA	NA	NA	6.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
NUPL2	10.894062746984225	0.0043090777646056	2.365615668261515	NA	0.0043090777646056	NA	NA	NA	NA	6.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
ZNF684	10.838356520227801	0.0044307861059527985	2.353519214817532	NA	0.0044307861059528	NA	NA	NA	NA	4.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
TMBIM6	10.7401423933907	0.004653799963309801	2.3321922881523824	NA	0.0046537999633098	NA	NA	NA	NA	4.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
H2AC16	10.665146927652408	0.004831619999999997	2.31590722968343	NA	NA	NA	NA	0.00483162	NA	NA	NA	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
RAD51AP2	10.575256962377578	0.0050537310778883	2.296387871734763	NA	0.0050537310778883	NA	NA	NA	NA	19.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
CGNL1	18.517689741085803	0.005060678697164966	2.295791235202156	NA	0.24553045526877	0.000557401	NA	0.696084	NA	5.0	4.0	NA	10.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
NSUN6	18.346549438804367	0.005422069474800478	2.2658349219585627	NA	0.555767950835945	0.000429353	NA	0.4349	NA	8.0	4.0	NA	16.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
SLC16A12	10.42667710763665	0.005443470000000002	2.2641241662167775	NA	NA	NA	NA	0.00544347	NA	NA	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
UNC5D	10.360772128901447	0.005625834060560297	2.2498130819194526	NA	0.0056258340605603	NA	NA	NA	NA	4.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
WDR55	10.281811761731674	0.005852385747049793	2.2326670560440096	NA	0.0058523857470498	NA	NA	NA	NA	6.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
FER1L5	10.26427014691436	0.005903941658299204	2.228857942784593	NA	0.0059039416582992	NA	NA	NA	NA	16.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
SLC50A1	10.254423142141809	0.005933081405084294	2.226719692866596	NA	0.0059330814050843	NA	NA	NA	NA	4.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
GCKR	14.44524931544659	0.006001563873128147	2.221735567454269	0.00226248	0.322603605970692	NA	NA	NA	5.0	11.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
MCMDC2	10.210380229761421	0.006065185723486899	2.217155895959721	NA	0.0060651857234869	NA	NA	NA	NA	13.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
CMYA5	18.032594779114007	0.0061512533425760515	2.2110363859632374	NA	0.0552787840340605	0.255392	NA	0.00860015	NA	34.0	6.0	NA	11.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
QDPR	10.152524815070963	0.006243200000000002	2.204592752285576	NA	NA	NA	NA	0.0062432	NA	NA	NA	NA	7.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
CYP2C18	10.150750405284155	0.006248741455430202	2.2042074440960526	NA	0.0062487414554302	NA	NA	NA	NA	7.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
NEBL	21.23930825724051	0.006538176133880627	2.1845433840092325	NA	0.345981582011274	0.000168587	0.60685	0.690215	NA	15.0	12.0	10.0	21.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
ENTPD1-AS1	17.84376949959308	0.0066347167647043325	2.178177612385309	NA	NA	0.0163206	0.276862	0.0295308	NA	NA	11.0	8.0	28.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
OR10D3	10.023844825313189	0.006658091396143202	2.1766502475439915	NA	0.0066580913961432	NA	NA	NA	NA	4.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
