GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
RLN3	2.563947972441918	0.27748899999999993	0.5567542281592779	NA	0.277489	NA	23.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
GID4	2.563789413883276	0.277511	0.5567197976057394	NA	0.277511	NA	43.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
CDC42BPB	5.09669867744852	0.27751873949094213	0.5567076857566979	0.227272	0.344128	28.0	230.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
LOC105370401	2.5633498399799457	0.277572	0.5566243453454369	0.277572	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
FOXL2NB	2.562182915764499	0.2777339999999999	0.5563709509716531	NA	0.277734	NA	10.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
FAM217A	5.094499776281335	0.2777379420768246	0.5563647867639496	0.189726	0.412683	9.0	47.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
SLAMF8	5.093820521431541	0.277805684781133	0.5562588714716348	0.259039	0.302361	8.0	41.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
PLEKHJ1	5.093756813785214	0.27781203911949437	0.5562489378285276	0.272465	0.287471	10.0	52.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
KCNH2	5.092645413219376	0.27792291239535394	0.5560756478369446	0.0898501	0.872223	24.0	180.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
AMPD1	5.09165055889101	0.2780221907644641	0.5559205388231583	0.439755	0.1783	17.0	118.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
DISP3	5.091642692776615	0.27802297585818647	0.5559193124412315	0.367417	0.213405	18.0	219.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
IQGAP1	5.091620295891455	0.27802521123563384	0.5559158206140378	0.817423	0.0959228	20.0	214.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
SDHAF2	5.091201712133755	0.27806699183693867	0.5558505613475666	0.526246	0.149029	5.0	23.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
PNP	5.0909481668648695	0.2780923018362324	0.5558110331290764	0.906091	0.0865651	6.0	35.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
SPRR2D	2.55940520750264	0.27812000000000003	0.5557677792864218	NA	0.27812	NA	6.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
POC5	5.089614204126708	0.2782254959299339	0.5556030747957129	0.846958	0.0926707	5.0	44.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
LOC101927322	2.5580968479734296	0.27830199999999994	0.5554836726244812	NA	0.278302	NA	7.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
PCDHGA7	5.0888049374364	0.27830632623030704	0.5554769215291011	0.427904	0.183499	196.0	1394.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
NUTM1	5.088082394185197	0.27837851129103014	0.5553642920065756	0.0863511	0.909639	12.0	98.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
AK8	5.088021296888754	0.2783846158895873	0.555354768410855	0.0907244	0.865817	14.0	76.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
LRRC38	5.087811158858668	0.27840561290883836	0.5553220132038494	0.615917	0.127548	6.0	40.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
PSMD2	5.087638579825937	0.27842285802955963	0.555295112780605	0.526845	0.149125	6.0	114.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
SND1	5.086904821337929	0.2784961896136459	0.5551807424690247	0.199655	0.393652	28.0	230.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
