GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
AUNIP	42.03485100546311	1.6406449871452334e-08	7.784985384092457	NA	0.0238345148633997	3.12638e-08	NA	8.0	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP2
CAPN10	35.537312498625305	3.602498596644737e-07	6.443396179693589	NA	0.0051155550562002	3.75213e-06	NA	6.0	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP2
