GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
FER1L5	2.6816216155770527	0.00732662781441824	2.1350958696388114	NA	0.0073266278144184	NA	NA	NA	NA	16.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
PRMT2	2.6617244320344113	0.007774149496645693	2.1093471121554823	NA	0.0077741494966456	NA	NA	NA	NA	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
ASPDH	2.650703451132342	0.008032433335630937	2.095152870144669	NA	0.008032433335631	NA	NA	NA	NA	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
CYP2C18	2.636884802061022	0.008367124079129332	2.077423790655541	NA	0.0083671240791291	NA	NA	NA	NA	7.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
AQP6	2.612915925039084	0.008977338346068845	2.046852406423818	NA	0.008977338346069	NA	NA	NA	NA	3.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
RIPK2	2.6123374362910927	0.008992544781752047	2.046117390771683	NA	NA	NA	NA	0.00899228	NA	NA	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
OTUD7B	2.610573389580977	0.009039057483489609	2.043876851721489	NA	NA	NA	NA	0.00903904	NA	NA	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
TMEM209	2.590845078601993	0.009574058069057527	2.018903942741393	NA	0.837575823830646	0.0454579	NA	0.0224844	NA	8.0	4.0	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
ZBBX	2.5891529765564507	0.00962123422979379	2.016769212285825	NA	0.0096212342297936	NA	NA	NA	NA	14.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
UNC13B	2.5781748647865377	0.009932372138158849	2.002947017015059	NA	0.223488293160634	0.117844	0.019509	0.968491	NA	8.0	8.0	5.0	28.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
NRBF2	2.577097484769445	0.00996338469737064	2.0015931007649783	NA	NA	NA	NA	0.00996342	NA	NA	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
MCMDC2	-2.564215711322576	0.010340925417547712	1.9854405941482125	NA	0.0103409254175479	NA	NA	NA	NA	13.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
TKTL2	2.5628049829612953	0.010383035107430733	1.983675677534157	NA	0.0103830351074306	NA	NA	NA	NA	9.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
OGFOD1	2.5592811793372285	0.010488886584507048	1.979270610554644	NA	0.010488886584507	NA	NA	NA	NA	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
DCP1B	2.5442319271449616	0.010951834004177983	1.9605131473809927	NA	0.0109518340041779	NA	NA	NA	NA	4.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
EPB41L4A	2.543587019239521	0.010972072338862727	1.959711337754954	NA	0.0109720723388628	NA	NA	NA	NA	13.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
