GENE	TEST_STAT	META_PVAL	-log10	GNE_PVAL	UKB_CASE_PVAL	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
AUNIP	42.16563643690165	1.5413557333370727e-08	7.812097117805894	0.0229353327748248	3.04329e-08	46.0	24.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
LRRK2	32.47630187566846	1.5288023107578334e-06	5.815648669524068	1.69712117903398e-06	0.0522574	197.0	124.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
GBA	32.23443586662486	1.7132248612922493e-06	5.766185632008543	0.0882048525585825	1.13472e-06	19.0	35.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
KIF9	31.741752608671696	2.160248137076082e-06	5.665496360713204	0.825543951865936	1.55105e-07	93.0	55.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
FIBCD1	29.12749051243589	7.36478228880464e-06	5.132840086861852	0.0285224169669634	1.65905e-05	95.0	60.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
DCAF15	27.254713603171776	1.7655498866008747e-05	4.7531200066936945	0.0124700556852674	9.67934e-05	42.0	31.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PPP3CA	27.252935521062174	1.767012826484398e-05	4.752760298002473	0.0138825002515574	8.70227e-05	27.0	17.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CSNK1A1P1	20.138361854043588	4.23653e-05	4.372989713891035	NA	4.23653e-05	NA	5.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
GPC1	25.00288375905649	5.024269504174624e-05	4.298927072886171	0.153336121241537	2.42688e-05	80.0	57.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
SLC6A14	24.508842256670164	6.314417453422719e-05	4.199666709785438	0.723939731220088	6.58067e-06	15.0	10.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CENPX	19.00156984645614	7.479310000000006e-05	4.126138465907561	NA	7.47931e-05	NA	18.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PURG	24.123348112919523	7.54536680070894e-05	4.122319643144614	0.380656089821375	1.51757e-05	20.0	13.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
FAH	24.057263163398403	7.779120210415488e-05	4.109069517324878	0.0234574477728149	0.000254537	35.0	35.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
ADI1	23.3695118249968	0.00010682111319892078	3.971342900495046	0.0029326491879683	0.00287154	38.0	26.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
ADH5	23.066718781245847	0.00012279852547470696	3.910806848032334	0.0340767053500921	0.00028752	34.0	26.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
DIAPH2	22.889962037401666	0.00013319935954406037	3.8754978633575283	0.0001749680565859	0.0611715	12.0	30.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
FAM50A	17.69769610051434	0.00014354699999999992	3.8430058794270376	NA	0.000143547	NA	6.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
RAP1A	22.667114185782378	0.00014756625060030525	3.8310129572421445	0.0973563941555602	0.000122895	9.0	9.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
DEFB108B	22.65838707167825	0.00014815913468900076	3.829271567115229	0.247883815755144	4.84781e-05	10.0	11.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
STK38L	22.269659467486527	0.00017710816228547896	3.7517614232601932	5.73359047494337e-05	0.254553	12.0	10.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
GDI1	17.160755925240423	0.00018775400000000018	3.726410801810224	NA	0.000187754	NA	6.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
IL17D	21.94675468877207	0.00020537115289731607	3.6874605588757654	0.149698601766474	0.000114579	5.0	16.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
KDM4C	21.68565818256052	0.0002314592914320723	3.635525380719648	0.156003357793541	0.000125281	101.0	52.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CETN3	21.500442810323207	0.00025193251051046145	3.5987157855615948	0.0235940157538969	0.000908733	18.0	14.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PACRG-AS1	16.55948889799394	0.00025360199999999985	3.5958473257684647	NA	0.000253602	NA	4.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
JADE1	21.43912095297405	0.00025909877584571594	3.586534638904204	0.102239804963478	0.000216239	43.0	26.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CYTL1	21.377098249618946	0.0002665524643092715	3.5742172980162596	0.522463261169158	4.36482e-05	12.0	7.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
OTX1	21.251543277712386	0.000282297998685052	3.5492922007164154	6.85398347239907e-05	0.354277	21.0	10.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
VCX	16.252749650109823	0.000295638	3.5292397443988515	NA	0.000295638	NA	46.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PCBD1	20.926637845721203	0.00032745279712985387	3.484851295438654	4.34856874426126e-05	0.656889	11.0	8.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
TMEM131L	15.94256463364582	0.0003452360000000001	3.4618839238891583	NA	0.000345236	NA	87.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PUS7L	20.487736504289938	0.00040000027780703976	3.3979397070469815	0.776459563667361	4.58169e-05	74.0	43.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
TAS1R3	20.377752644363824	0.00042054619682371514	3.376186290178499	0.0710194063176942	0.000529237	162.0	111.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
RNF114	20.35340495063346	0.000425233979880673	3.3713720388687802	0.000189392352175	0.200887	23.0	14.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
GATAD1	20.29680530814937	0.00043633230994394686	3.3601826267775037	0.170691555704418	0.000229294	14.0	7.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
LOC100288637	15.39220729057295	0.0004545950000000005	3.342375345303417	NA	0.000454595	NA	63.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
TMEM9B	19.946157437880156	0.0005117707254459898	3.290924560459169	0.0007428552363274	0.0627831	18.0	7.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
BOLA1	19.935573518927917	0.0005142380540990443	3.288835788304363	0.0004992011413238	0.0939225	15.0	9.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
FAM107A	19.876459652401834	0.000528236821220546	3.277171329188268	0.914426939213296	5.2812e-05	28.0	18.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
C12orf60	19.818563012584804	0.0005423128196170381	3.2657501292486035	0.0382402208829288	0.00129997	25.0	29.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
TNFRSF10D	19.803844668569027	0.0005459499791712183	3.2628471462422834	0.268098153509821	0.000186791	34.0	28.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CSTF2T	19.774570193075668	0.000553256133324317	3.257073762842834	0.778980597486667	6.52349e-05	46.0	28.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
H3C12	14.94968884601432	0.000567174	3.246283685997306	NA	0.000567174	NA	5.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CBLL2	14.87638729614606	0.0005883469999999999	3.2303664566859354	NA	0.000588347	NA	12.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
SEMA6B	19.565711262998143	0.0006082660434644028	3.2159064274096023	0.0044636311926321	0.0126378	73.0	59.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
RP11-542C16.2	14.681751892587613	0.0006484822364755005	3.188101915811712	0.0006484822364755	NA	33.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
SLIRP	19.395294761262736	0.0006571333879367401	3.182346466414239	0.638103940118455	9.62662e-05	16.0	16.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
RAB32	19.33269185645228	0.0006760440077790252	3.1700250322928176	0.0001896920070513	0.334126	15.0	14.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
NFATC1	19.2698851470849	0.0006955570485953876	3.157667243998164	0.065153452821762	0.00100383	104.0	105.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
ZGLP1	19.154864666213406	0.0007327473266470667	3.135045757365194	0.000131033870665	0.528677	24.0	7.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
TTC32	18.981710367676172	0.0007924736982978318	3.10101514283093	0.0001348408736615	0.560212	26.0	14.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
KAT2B	18.970332863957086	0.0007965625549500882	3.0987801128912578	0.0518042574234689	0.00146649	50.0	37.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
RPS20	18.958056616182745	0.0008009978042258938	3.096368674444957	0.74764936165867	0.000102238	5.0	4.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
LTK	18.902270899989887	0.000821462046346285	3.085412497284489	0.0084685332476329	0.00928145	119.0	75.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CD69	18.765506108713723	0.0008738454881344935	3.058565351785282	0.681715056850378	0.000123458	15.0	7.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
MYOCD	18.72883840858536	0.0008884426190369596	3.0513706163002627	0.093415448443688	0.000917626	81.0	51.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
E2F1	18.599170672052708	0.0009420222155878696	3.0259388551758506	0.19238016943696	0.000475424	29.0	18.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
C11orf63	13.855728604447926	0.0009800918146948996	3.0087332378303895	0.0009800918146949	NA	78.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
TEX26-AS1	13.813671403845508	0.0010009199999999993	2.999600632757425	NA	0.00100092	NA	20.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
ST7-OT3	13.763960651009544	0.0010261100000000009	2.9888060799334673	NA	0.00102611	NA	7.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
GSTA4	18.37926234680696	0.001040285044867077	2.982847644882742	0.0342552090185113	0.00298035	21.0	10.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
ADGRL3	18.289877232405995	0.0010830613183523182	2.965346954761391	0.0005325637017582	0.200462	98.0	60.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
OR2T8	18.28418084137941	0.0010858455487513178	2.9642319446323993	0.0907246804144851	0.00118009	8.0	23.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
SEC24B	18.11364579007428	0.00117255330516674	2.930867404806011	0.486634735923661	0.00023959	107.0	74.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
TRPC1	18.100473807321173	0.0011795282637379087	2.928291648132903	0.0010083704632455	0.116389	31.0	25.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
TAAR6	18.08830781760027	0.0011860069194302566	2.925912777192994	0.0741187523559605	0.00159311	41.0	27.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
MYEF2	18.041192774876446	0.0012114300304562388	2.916701664699644	0.0244618243211736	0.00494215	31.0	42.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CNOT8	18.019054699886357	0.0012235608089261735	2.912374442066311	0.0174893115035748	0.00698939	8.0	7.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CEACAM4	17.990330796439984	0.001239479330494107	2.906760711112537	0.279686964312889	0.000443381	40.0	28.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
NDUFAF8	13.360856979243446	0.0012552399999999984	2.9012732297919896	NA	0.00125524	NA	16.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
UROS	17.956245885214795	0.0012586344042945859	2.900100401151159	0.386107520196863	0.000326695	31.0	14.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
EFHD2	17.89387097810747	0.0012944479393644458	2.887915411510609	0.229820821675358	0.000566247	13.0	16.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
SOHLH2	17.87196520940503	0.0013072627518266558	2.883637113108221	0.848823831610699	0.000155001	28.0	24.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
TNNI1	17.80180629727368	0.0013491545141814279	2.8699383091764377	0.916750555818916	0.00014864	16.0	7.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
TRIML1	17.795496062991116	0.0013529866838351808	2.8687064777300635	0.310054972458084	0.000440878	55.0	28.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
NAV1	17.791869346662473	0.0013551940296565607	2.867998520305076	0.126880369670491	0.00107932	144.0	70.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
KRT40	17.6865574823752	0.001420864371523354	2.8474473756335312	0.252915409602024	0.000570739	42.0	24.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
GDF5-AS1	13.090924293321537	0.001436620000000001	2.842658091801385	NA	0.00143662	NA	12.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
IPO9-AS1	13.064220814572904	0.0014559300000000005	2.836859505067309	NA	0.00145593	NA	61.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
LIMK1	17.616143155832745	0.0014665157923970144	2.8337132558924636	0.0033359731354968	0.0448209	65.0	40.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
UQCC3	17.5496273725381	0.0015109682011643832	2.8207446754387093	0.0183471746287587	0.00842515	9.0	5.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CSRNP1	17.518832848408067	0.0015319960007115756	2.814742368431327	0.598412591315287	0.000262321	75.0	37.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
SERPINA4	17.464735309808155	0.0015696376965878022	2.804200579775876	0.0111556202114977	0.0144573	63.0	36.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
ACOT11	17.43819276296266	0.0015884386406961252	2.799029556739741	0.0002427211157085	0.673344	70.0	79.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
SMR3A	17.384624990668907	0.0016270618279084837	2.7885959436769703	0.0154643196239916	0.0108554	14.0	6.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
SMAD7	17.278673403266904	0.0017062037557374417	2.767969106399178	0.332398015343444	0.000532507	19.0	20.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PPIP5K2	17.27764675946191	0.0017069889055045737	2.7677693015529883	0.0017467933820201	0.101383	69.0	44.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CCDC69	17.231761201287508	0.0017424473348890605	2.758840339492633	0.66137620653353	0.000273982	46.0	27.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
NPRL3	17.217686966916247	0.001753468219069221	2.756102101130039	0.0005766405923961	0.316462	67.0	47.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
ABCD2	17.20311276438614	0.001764953077890751	2.7532668360461323	0.0280534634351808	0.00655247	48.0	13.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
SEZ6L2	17.19794013581806	0.0017690470631392444	2.7522606131107445	0.0094199898699255	0.0195643	89.0	50.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
SLC22A16	17.19548932324751	0.0017709900795056133	2.7517838715756153	0.213094221850071	0.000865915	72.0	45.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
ERLIN2	17.167667479056927	0.0017931955164051964	2.746372355687863	0.0007317958076203	0.255681	24.0	12.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
ID1	17.153255718036604	0.0018048057205832203	2.7435695411376932	0.418601500674787	0.000450212	31.0	12.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
MAP3K1	17.151282376691384	0.0018064012173119293	2.7431857827532107	0.872498221512664	0.000216213	87.0	76.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
UCHL1	17.091167526554525	0.00185567800397915	2.7314973800713136	0.831092726228946	0.000233911	17.0	11.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
COPS4	17.069424619316564	0.0018738254489108683	2.727270867079771	0.844241209065334	0.000232785	28.0	15.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
RGS7BP	16.993189031903725	0.0019388480835655626	2.712456218282758	0.117338118037944	0.00173995	18.0	10.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
ZBTB43	16.969676355063253	0.0019593477628596875	2.707888474629583	0.0002306448460122	0.895649	31.0	11.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
NFE2L1	16.929055595266906	0.001995267996590634	2.6999987633237774	0.0781089878380851	0.00269899	73.0	39.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
ANGPTL6	16.926105024035376	0.0019979022870870223	2.6994257559581993	0.924999975937231	0.000228245	39.0	57.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
XPNPEP1	16.82625813030936	0.0020890964202231323	2.6800415151156747	0.0003536221502211	0.627603	49.0	23.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CAMSAP1	16.803909712490476	0.0021100635253206335	2.6757044696876546	0.0003472341111088	0.646331	125.0	66.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
SALL4	16.790857159891566	0.002122405146605527	2.673171709906772	0.0011895860912496	0.189896	91.0	61.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
USP6NL	16.756040124840517	0.002155674950343839	2.66641672489283	0.0032426540643891	0.0708878	70.0	48.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PRKG1	16.737394563531318	0.0021737027569990394	2.6627998437920306	0.777038937814293	0.000298592	45.0	63.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
AP4B1-AS1	12.15708858014175	0.0022915100000000027	2.6398782431823	NA	0.00229151	NA	76.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
SCO2	16.6168732329126	0.002293868777350495	2.6394314298970913	0.627293221025533	0.000392845	44.0	44.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
MVD	16.547162426451838	0.002366338191977238	2.6259231868367805	0.439304184255462	0.00058085	79.0	53.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
SYBU	16.528700757476308	0.002385905321158063	2.6223467942425582	0.0235085505033498	0.010955	54.0	45.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
GDF9	16.469101963517453	0.0024501672519644316	2.610804269053409	0.0003681980389701	0.720607	53.0	26.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
EEF1D	16.447892088299	0.0024734456246327595	2.6066976325735065	0.001519376869109	0.17649	76.0	58.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
EMD	11.970320919377272	0.002515809999999999	2.599322160948305	NA	0.00251581	NA	8.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
BBS12	16.40454002246237	0.0025217055085746134	2.5983056328575995	0.226340803160707	0.0012107	69.0	36.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
FGF3	16.39020847920292	0.002537862608157825	2.5955318929324167	0.0366161920872716	0.00753769	24.0	16.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
NDUFAF3	16.388788885048406	0.002539468570909817	2.5952571577378847	0.623301768231405	0.00044312	15.0	9.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
DCAF1	16.33926181183077	0.0025961287894836105	2.585673766735044	0.0014293773842111	0.198074	72.0	29.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
TFCP2L1	16.331061997529083	0.0026056289810074303	2.5840874239927643	0.0026647449921098	0.106684	44.0	17.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PHRF1	16.270623937933273	0.00267671594703219	2.572397713677421	0.337509603492027	0.000868146	212.0	138.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
MINAR1	11.782709987306758	0.0027632299999999993	2.55858296467683	NA	0.00276323	NA	53.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PHC2-AS1	11.778725871830998	0.002768740000000002	2.557717824993636	NA	0.00276874	NA	5.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
COPS7A	16.147515350238663	0.0028274749776713657	2.54860122976496	0.431391647691326	0.000722337	18.0	15.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CCDC25	16.14572171853741	0.002829732131773174	2.5482546737332386	0.238833080035128	0.00130589	13.0	6.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
EEF1AKMT4	11.730890600254781	0.0028357599999999997	2.5473305277506886	NA	0.00283576	NA	18.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PCP4L1	16.123188112885217	0.0028582406309513473	2.543901211410977	0.0181124912468491	0.0174147	8.0	5.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
ANXA11	16.116256534028686	0.0028670668899929285	2.5425621746447447	0.0037676804442868	0.0840089	70.0	31.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
MYSM1	16.08518433913288	0.002906963271917224	2.536560455296805	0.22304176212409	0.00144132	58.0	25.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PPME1	16.078863044331758	0.0029151464087482566	2.5353396285843064	0.0494519105309172	0.00652133	19.0	14.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
WDFY4	16.05424976254291	0.002947225791196811	2.530586590952081	0.0009680816768102	0.33725	319.0	222.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
GOLGA8K	16.006828953757072	0.003010013891332797	2.521431500115373	0.461392699307618	0.000724587	6.0	47.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
NPBWR1	15.984022770356844	0.003040677806102925	2.5170295957864037	0.11496571034168	0.00294134	36.0	26.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
FANCM	15.930143060061237	0.0031143480443699186	2.5066328544195056	0.281946968216967	0.0012321	172.0	118.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
LOC102725023	11.524022687163514	0.003144779999999998	2.502409731181499	NA	0.00314478	NA	167.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
KIR2DS2	11.524022687163514	0.003144779999999998	2.502409731181499	NA	0.00314478	NA	167.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
SLC16A11	15.880456486368413	0.0031838404449472547	2.497048704632621	0.491095386406906	0.000725165	58.0	24.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
TUBGCP2	15.870744122122133	0.003197601528798348	2.495175657108307	0.0044778976185524	0.0799167	106.0	99.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
LAT	15.864163156292058	0.003206959102372667	2.4939065784959835	0.0008223600094526	0.436595	25.0	25.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
