GENE	TEST_STAT	META_PVAL	-log10	GNE_PVAL	UKB_CASE_PVAL	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
SSB	1.5009867511527406	0.826466662345528	0.08277466012203612	0.61527877941191	0.767349	18.0	22.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
KCND3	1.4999833651659007	0.8266444139449055	0.08268126465676605	0.529090578963609	0.892797	35.0	19.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
STAG3	1.499976184037063	0.8266456859875202	0.08268059636378065	0.472372177706662	1.0	106.0	59.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
SNAPC3	1.4986716743402573	0.8268767374519048	0.08255922591818092	0.567139104530736	0.833447	35.0	28.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
IFNG	0.38014564630360514	0.826898914365533	0.0825475782546005	0.826898914365533	NA	5.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CCDC172	1.4980098602257228	0.8269939370339648	0.08249767439224791	0.77765889026312	0.608026	25.0	14.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
AMIGO1	1.4980030903441446	0.8269951358341412	0.08249704484479801	0.768138528144086	0.615564	23.0	12.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
IL36G	1.497702541906086	0.827048355116895	0.08246909776726921	0.682360822543121	0.693049	16.0	11.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
SPRN	1.4976157859707468	0.8270637168295727	0.08246103119528556	1.0	0.47293	4.0	25.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
HNRNPD	1.4975652081172066	0.8270726724532159	0.08245632858677578	0.681604171473116	0.693866	19.0	20.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
BCR	1.4973084580923772	0.8271181330085962	0.08243245798093554	0.540826050369257	0.874593	93.0	86.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
DLX1	1.4971579059421802	0.827144789093312	0.08241846191012045	0.71331051074609	0.663159	7.0	6.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
