GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
VPS13A	2.6205576990829353	0.008778607343774279	2.0565743759944275	NA	0.4441981521126	0.00327248	NA	28.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
AQP6	2.6129159250390837	0.008977338346068854	2.0468524064238176	NA	0.008977338346069	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ENTPD8	-2.5930908663638	0.009511763608974598	2.02173895155522	0.052545	0.0838910667717844	NA	2.0	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
CTTNBP2	2.57595914603991	0.009996245649762748	2.000163079974	NA	0.135379461498745	0.0315758	NA	8.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
MCMDC2	-2.564215711322576	0.010340925417547712	1.9854405941482125	NA	0.0103409254175479	NA	NA	13.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
TKTL2	2.5628049829612953	0.010383035107430733	1.983675677534157	NA	0.0103830351074306	NA	NA	9.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
LIPE	2.560720022298458	0.010445549784499259	1.9810686966994158	NA	0.168503749515612	0.0248084	NA	6.0	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
OGFOD1	2.5592811793372285	0.010488886584507048	1.979270610554644	NA	0.010488886584507	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
DCP1B	2.5442319271449616	0.010951834004177983	1.9605131473809927	NA	0.0109518340041779	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
EPB41L4A	2.543587019239521	0.010972072338862727	1.959711337754954	NA	0.0109720723388628	NA	NA	13.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
CD44	2.5386333694426577	0.011128637710630093	1.9535579956802518	NA	0.467569325430392	0.00418689	NA	5.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
TMEM38B	2.536784342102996	0.011187584863086684	1.9512636573358768	NA	NA	0.0111879	NA	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
SCPEP1	2.5341267713643476	0.011272794158853246	1.9479684231404921	0.0314481	0.572018139634863	0.0943676	4.0	4.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
TTC31	2.5311299559617413	0.011369571504132321	1.944255902673527	NA	0.0113695715041321	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
