GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
SOAT2	3.908428183988485	9.289855318303369e-05	4.031991049725602	NA	0.0217959810802337	0.0498089	0.00736437	0.378072	NA	8.0	6.0	7.0	13.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
ZSCAN25	3.6809750201690328	0.0002323437694158523	3.6338689691700288	NA	NA	NA	NA	0.000232348	NA	NA	NA	NA	16.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
TRAPPC3L	3.571326110833633	0.0003551783251896019	3.4495535449704886	NA	0.0020760267795094	NA	NA	0.0486686	NA	4.0	NA	NA	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
GLIPR2	3.1806096636147028	0.0014696550315069327	2.8327845941598433	NA	NA	NA	NA	0.00146969	NA	NA	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
PHKB	-3.1459931472039195	0.0016552388394485283	2.7811393316944986	0.038219	0.112281879679084	0.0906565	0.281883	0.544453	5.0	14.0	16.0	11.0	28.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
RP11-400G3.5	3.112899632413066	0.0018525900862235362	2.732220664321094	NA	0.0018525900862235	NA	NA	NA	NA	10.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
NOC2L	3.056221764227844	0.0022414540542561086	2.6494701589563636	NA	0.0022414540542561	NA	NA	NA	NA	15.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
SLC17A1	-3.042402310276703	0.002346979837439067	2.629490641345833	NA	0.002346979837439	NA	NA	NA	NA	12.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
CAPN10	3.0319251184535547	0.002429994771146659	2.614394660913867	NA	0.0111847897236652	0.00229306	0.104039	0.250972	NA	6.0	4.0	4.0	18.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
ZNF587B	3.0318646066294477	0.002430481939366744	2.6143076017700624	NA	0.0024304819393667	NA	NA	NA	NA	7.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
FLYWCH1	3.0116087268559064	0.0025986732008537222	2.5852483322687627	NA	0.0698803743089678	NA	NA	0.0144303	NA	14.0	NA	NA	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
TRAP1	2.952055033177449	0.003156666653530555	2.5007712775236564	NA	0.0031566666535306	NA	NA	NA	NA	10.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
EQTN	2.9504699480583727	0.0031729090956132936	2.498542370332322	NA	NA	NA	NA	0.00317294	NA	NA	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
LY6K	2.9354628482829033	0.0033305049089437312	2.4774899218853377	NA	0.0033305049089437	NA	NA	NA	NA	4.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
