GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
ZSCAN25	3.791306574483068	0.00014985683444540516	3.8243234456162907	NA	NA	0.000149851	NA	NA	18.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
TRAPPC3L	3.7300209428633817	0.00019146385536681065	3.7179132002662922	NA	0.0020760267795094	0.0280984	NA	4.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
SOAT2	3.3189339825019206	0.000903617895759083	3.0440151766533368	NA	0.0217959810802337	0.0164051	NA	8.0	15.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
RHOT1	3.3022983719039405	0.0009589600361495601	3.018199491308342	NA	NA	0.000958919	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
RP11-400G3.5	3.112899632413066	0.0018525900862235362	2.732220664321094	NA	0.0018525900862235	NA	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
FLYWCH1	3.057228067457272	0.0022339423368667147	2.650928041204205	NA	0.0698803743089678	0.0120429	NA	14.0	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
NOC2L	3.056221764227844	0.0022414540542561086	2.6494701589563636	NA	0.0022414540542561	NA	NA	15.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
SLC17A1	-3.042402310276703	0.002346979837439067	2.629490641345833	NA	0.002346979837439	NA	NA	12.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
ZNF587B	3.0318646066294477	0.002430481939366744	2.6143076017700624	NA	0.0024304819393667	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
PHKB	-3.0014038245766588	0.0026873791569914417	2.5706710554974506	0.038219	0.112281879679084	0.124033	5.0	14.0	35.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
TRAP1	2.952055033177449	0.003156666653530555	2.5007712775236564	NA	0.0031566666535306	NA	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
LY6K	2.9354628482829033	0.0033305049089437312	2.4774899218853377	NA	0.0033305049089437	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
NME3	-2.92352052726516	0.0034609740439793487	2.4608016577410674	NA	0.043064465862484	0.0347384	NA	5.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
USP13	2.910664026056153	0.00360661604781899	2.442900089228362	NA	0.0036066160478189	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
MEI1	2.899569861415407	0.0037367506235431256	2.4275058843373882	NA	0.0037367506235431	NA	NA	9.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
TMEM252	2.8791789498662923	0.0039871202397343325	2.3993406671051685	NA	NA	0.00398718	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
OTUD7B	2.87536499995895	0.00403560680245659	2.39409115458628	NA	NA	0.00403557	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
RTEL1-TNFRSF6B	-2.8451836745635064	0.004438582067798535	2.352755745759456	NA	0.0096142444242319	0.151488	NA	17.0	23.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
KIN	2.806766914058083	0.005004143607014746	2.3006702355815043	NA	0.0050041436070147	NA	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
CMYA5	2.8052112603102293	0.005028361048949237	2.298573546432213	NA	0.0554334644759755	0.0401986	NA	34.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
ALG8	2.758586659796047	0.005805191079041957	2.2361834807991734	NA	0.0058051910790419	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
